Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,106.92730400000983,106.92730400000983,106.92730400000983,106.92730400000983,65842.0,0.05628519339305886,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,53.09206100002939,53.09206100002939,53.09206100002939,53.09206100002939,0.0,0.05628519339305886,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/pli-bigbrain/masked/precomputed/info,1,0,162.12000400003035,162.12000400003035,162.12000400003035,162.12000400003035,985.0,0.05628519339305886,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,171.06105799996385,171.06105799996385,171.06105799996385,171.06105799996385,227.0,0.05628519339305886,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,4.924629999891295,4.924629999891295,4.924629999891295,4.924629999891295,766.0,0.05628519339305886,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,7.069201000035719,7.069201000035719,7.069201000035719,7.069201000035719,38.0,0.05628519339305886,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,4.62252600004831,4.6127973333796035,4.595957000105955,4.62252600004831,110.0,0.16885558017917657,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,3.2608730000447395,3.2608730000447395,3.2608730000447395,3.2608730000447395,767.0,0.05628519339305886,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,6.381709999914165,6.381709999914165,6.381709999914165,6.381709999914165,38.0,0.05628519339305886,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,5,5.160068333339041,4.699638000033701,5.590517999962685,109.0,0.16885558017917657,0.0,5,5,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,3.8713029999826176,3.8713029999826176,3.8713029999826176,3.8713029999826176,543.0,0.05628519339305886,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,4.5116759999928036,4.5116759999928036,4.5116759999928036,4.5116759999928036,38.0,0.05628519339305886,0.0,5,5,5,5,5,5,5,5,5,5,5
