Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,8.475822999997717,8.475822999997717,8.475822999997717,8.475822999997717,11988.0,0.3307534489035971,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,7.333932999998183,7.333932999998183,7.333932999998183,7.333932999998183,2048.0,0.3307534489035971,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,10.540863999999317,10.540863999999317,10.540863999999317,10.540863999999317,766.0,0.3307534489035971,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,8.085244000000102,8.085244000000102,8.085244000000102,8.085244000000102,38.0,0.3307534489035971,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,8,8.817530333333915,7.017592000003958,11.090574999997216,110.0,0.9922603467107912,0.0,8,8,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,35.85956599999918,35.85956599999918,35.85956599999918,35.85956599999918,10388.0,0.3307534489035971,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,9.592673999996748,9.592673999996748,9.592673999996748,9.592673999996748,2256.0,0.3307534489035971,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,9.445403999997382,9.445403999997382,9.445403999997382,9.445403999997382,767.0,0.3307534489035971,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,7.060512999998991,7.060512999998991,7.060512999998991,7.060512999998991,38.0,0.3307534489035971,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,9,8.70712700000098,7.5381129999954055,9.915134000003434,109.0,0.9922603467107912,0.0,9,9,10,10,10,10,10,10,10,10,10
