Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,5.577289000001429,5.577289000001429,5.577289000001429,5.577289000001429,11988.0,0.2316628836845537,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,7.932315999994444,7.932315999994444,7.932315999994444,7.932315999994444,2048.0,0.2316628836845537,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,6.208388999993986,6.208388999993986,6.208388999993986,6.208388999993986,766.0,0.2316628836845537,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,13.939734000004478,13.939734000004478,13.939734000004478,13.939734000004478,38.0,0.2316628836845537,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,7,7.293632666664014,6.185688999991612,8.469873999999322,110.0,0.694988651053661,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,67.0631429999986,67.0631429999986,67.0631429999986,67.0631429999986,10388.0,0.2316628836845537,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,8.671247999998855,8.671247999998855,8.671247999998855,8.671247999998855,2256.0,0.2316628836845537,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,6.717353999988518,6.717353999988518,6.717353999988518,6.717353999988518,767.0,0.2316628836845537,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,12.826610000004735,12.826610000004735,12.826610000004735,12.826610000004735,38.0,0.2316628836845537,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,8,7.747644333330565,5.749186999992162,9.628700999996909,109.0,0.694988651053661,0.0,8,8,10,10,10,10,10,10,10,10,10
