Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,409.20594500002494,409.20594500002494,409.20594500002494,409.20594500002494,11988.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,296.2277860000029,296.2277860000029,296.2277860000029,296.2277860000029,2048.0,0.00899730192746036,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,413.1821699999989,413.1821699999989,413.1821699999989,413.1821699999989,766.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,404.782670000003,404.782670000003,404.782670000003,404.782670000003,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,410.0,377.56066700000207,294.86014500000124,424.5433359999993,110.0,0.02699190578238108,0.0,410,410,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,408.656260000015,408.656260000015,408.656260000015,408.656260000015,10388.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,405.28483200000665,405.28483200000665,405.28483200000665,405.28483200000665,2256.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,421.1660089999896,421.1660089999896,421.1660089999896,421.1660089999896,767.0,0.00899730192746036,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,400.56847299999276,400.56847299999276,400.56847299999276,400.56847299999276,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,400.0,398.64677866666415,395.4126050000042,400.31749599999955,109.0,0.02699190578238108,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,393.84870800000726,393.84870800000726,393.84870800000726,393.84870800000726,543.0,0.00899730192746036,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,393.3309129999998,393.3309129999998,393.3309129999998,393.3309129999998,38.0,0.00899730192746036,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,390.0,368.828378333338,293.49885200001324,418.313413000007,111.0,0.02699190578238108,0.0,390,390,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,293.3918319999975,293.3918319999975,293.3918319999975,293.3918319999975,10004.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,401.22235799998407,401.22235799998407,401.22235799998407,401.22235799998407,767.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,293.6158290000037,293.6158290000037,293.6158290000037,293.6158290000037,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,400.432514000002,404.722878333331,400.432514000002,412.93455499999254,109.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,401.3905179999995,401.3905179999995,401.3905179999995,401.3905179999995,542.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,293.6093990000188,293.6093990000188,293.6093990000188,293.6093990000188,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,390.0,368.7321413333346,293.3960450000086,418.27109099999404,110.0,0.02699190578238108,0.0,390,390,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,413.85761199998683,413.85761199998683,413.85761199998683,413.85761199998683,541.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,400.9269440000196,400.9269440000196,400.9269440000196,400.9269440000196,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,400.82598800000824,405.12191133333886,400.82598800000824,413.6089659999982,109.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,400.78396199999133,400.78396199999133,400.78396199999133,400.78396199999133,768.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,294.0623939999796,294.0623939999796,294.0623939999796,294.0623939999796,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,400.57716399999777,403.5259950000049,400.57716399999777,409.3626070000198,111.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,399.81008699999165,399.81008699999165,399.81008699999165,399.81008699999165,592.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,398.6669299999903,398.6669299999903,398.6669299999903,398.6669299999903,264.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,393.13270399998146,393.13270399998146,393.13270399998146,393.13270399998146,768.0,0.00899730192746036,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,293.9005870000244,293.9005870000244,293.9005870000244,293.9005870000244,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,390.0,367.2251926666661,293.5866589999989,413.4854090000033,109.0,0.02699190578238108,0.0,390,390,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,293.72170800002095,293.72170800002095,293.72170800002095,293.72170800002095,768.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,400.50235900000075,400.50235900000075,400.50235900000075,400.50235900000075,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,3,0,400.0,368.961535999991,293.68527699998026,412.8285619999872,110.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,1,0,1213.3224009999992,1213.3224009999992,1213.3224009999992,1213.3224009999992,767.0,0.00899730192746036,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/mesh/info,1,0,294.80141599998433,294.80141599998433,294.80141599998433,294.80141599998433,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/transform.json,3,0,400.0,370.49651566665415,294.94320399999197,413.4968949999802,109.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/info,1,0,405.5859100000134,405.5859100000134,405.5859100000134,405.5859100000134,768.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/mesh/info,1,0,404.6518039999967,404.6518039999967,404.6518039999967,404.6518039999967,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/transform.json,3,0,400.0,403.39355799999527,394.9667680000175,410.7244569999864,111.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_0-64_64-80,1,0,293.8805610000088,293.8805610000088,293.8805610000088,293.8805610000088,2064.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_64-72_64-80,1,0,401.03241000002754,401.03241000002754,401.03241000002754,401.03241000002754,136.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_0-64_64-80,1,0,407.5963219999892,407.5963219999892,407.5963219999892,407.5963219999892,520.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_64-72_64-80,1,0,407.96875799998134,407.96875799998134,407.96875799998134,407.96875799998134,72.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/info,1,0,400.5124720000026,400.5124720000026,400.5124720000026,400.5124720000026,768.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/mesh/info,1,0,293.43342399999983,293.43342399999983,293.43342399999983,293.43342399999983,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/transform.json,3,0,410.0,1190.1442816666663,401.1740169999882,2755.482886999999,109.0,0.02699190578238108,0.0,410,410,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_0-64_64-72,1,0,404.7851060000198,404.7851060000198,404.7851060000198,404.7851060000198,976.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_64-81_64-72,1,0,401.64002199998095,401.64002199998095,401.64002199998095,401.64002199998095,200.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_0-64_64-72,1,0,399.50793700000986,399.50793700000986,399.50793700000986,399.50793700000986,72.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/64-71_64-81_64-72,1,0,295.43361599999685,295.43361599999685,295.43361599999685,295.43361599999685,32.0,0.00899730192746036,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/info,1,0,293.4514899999954,293.4514899999954,293.4514899999954,293.4514899999954,768.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/mesh/info,1,0,393.33292800000663,393.33292800000663,393.33292800000663,393.33292800000663,38.0,0.00899730192746036,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/transform.json,3,0,400.0,406.65801099999044,394.9498639999831,422.4907789999861,111.0,0.02699190578238108,0.0,400,400,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/0-64_0-63_64-82,1,0,407.49912199999017,407.49912199999017,407.49912199999017,407.49912199999017,3152.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/80um/64-96_0-63_64-82,1,0,405.60260499998435,405.60260499998435,405.60260499998435,405.60260499998435,776.0,0.00899730192746036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/info,1,0,293.5126779999848,293.5126779999848,293.5126779999848,293.5126779999848,768.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/mesh/info,1,0,400.9437769999806,400.9437769999806,400.9437769999806,400.9437769999806,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_right/transform.json,3,0,400.0,403.1825323333275,394.5795429999919,414.1037299999937,109.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/info,1,0,393.29208099999846,393.29208099999846,393.29208099999846,393.29208099999846,768.0,0.00899730192746036,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/mesh/info,1,0,293.2511409999847,293.2511409999847,293.2511409999847,293.2511409999847,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_left/transform.json,3,0,401.1640460000194,407.3130693333458,401.1640460000194,417.74727000000667,111.0,0.02699190578238108,0.0,400,400,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/0-64_0-63_64-67,1,0,294.02884399999607,294.02884399999607,294.02884399999607,294.02884399999607,912.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/80um/64-81_0-63_64-67,1,0,293.6927270000069,293.6927270000069,293.6927270000069,293.6927270000069,200.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/info,1,0,293.2659329999865,293.2659329999865,293.2659329999865,293.2659329999865,768.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/mesh/info,1,0,293.5827409999945,293.5827409999945,293.5827409999945,293.5827409999945,38.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb5_right/transform.json,3,0,400.0,403.1313033333295,394.3954460000043,413.49509099998727,109.0,0.02699190578238108,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/80um/0-64_0-64_64-68,1,0,400.4592269999989,400.4592269999989,400.4592269999989,400.4592269999989,848.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/80um/0-64_64-86_64-68,1,0,401.16070299998796,401.16070299998796,401.16070299998796,401.16070299998796,200.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/80um/64-87_0-64_64-68,1,0,295.27831199999355,295.27831199999355,295.27831199999355,295.27831199999355,272.0,0.00899730192746036,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/80um/64-87_64-86_64-68,1,0,398.32071000000724,398.32071000000724,398.32071000000724,398.32071000000724,80.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/info,1,0,404.91587700000764,404.91587700000764,404.91587700000764,404.91587700000764,768.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/mesh/info,1,0,404.7954309999966,404.7954309999966,404.7954309999966,404.7954309999966,38.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_left/transform.json,3,0,410.0,410.4180513333328,402.86771699999235,414.96885899999825,111.0,0.02699190578238108,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_right/80um/0-64_0-64_64-74,1,0,293.7873790000083,293.7873790000083,293.7873790000083,293.7873790000083,2000.0,0.00899730192746036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_right/80um/0-64_64-71_64-74,1,0,404.63129299999423,404.63129299999423,404.63129299999423,404.63129299999423,136.0,0.00899730192746036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb6_right/80um/64-77_0-64_64-74,1,0,296.12446899997735,296.12446899997735,296.12446899997735,296.12446899997735,264.0,0.00899730192746036,0.0,300,300,300,300,300,300,300,300,300,300,300
