Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,107.75729499999898,107.75729499999898,107.75729499999898,107.75729499999898,11988.0,0.03824464478602382,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,96.63560299999574,96.63560299999574,96.63560299999574,96.63560299999574,2048.0,0.03824464478602382,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,102.26956600000392,102.26956600000392,102.26956600000392,102.26956600000392,766.0,0.03824464478602382,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,106.17075199999704,106.17075199999704,106.17075199999704,106.17075199999704,38.0,0.03824464478602382,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,87,87.20783833333694,85.91897499999845,88.77560800000595,110.0,0.11473393435807146,0.0,87,87,89,89,89,89,89,89,89,89,89
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,83.6982790000036,83.6982790000036,83.6982790000036,83.6982790000036,10388.0,0.03824464478602382,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,86.72400500000776,86.72400500000776,86.72400500000776,86.72400500000776,2256.0,0.03824464478602382,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,95.80411099999253,95.80411099999253,95.80411099999253,95.80411099999253,767.0,0.03824464478602382,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,98.29641700000025,98.29641700000025,98.29641700000025,98.29641700000025,38.0,0.03824464478602382,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,93,90.39737133333385,83.62358700000527,94.9789989999914,109.0,0.11473393435807146,0.0,93,93,95,95,95,95,95,95,95,95,95
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,105.30396400000086,105.30396400000086,105.30396400000086,105.30396400000086,543.0,0.03824464478602382,0.0,110,110,110,110,110,110,110,110,110,110,110
