Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,175.10818299999187,175.10818299999187,175.10818299999187,175.10818299999187,11988.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,167.81245800000022,167.81245800000022,167.81245800000022,167.81245800000022,2048.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,171.37914999999282,171.37914999999282,171.37914999999282,171.37914999999282,766.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,171.89218800000106,171.89218800000106,171.89218800000106,171.89218800000106,38.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,177.89467400000092,177.59730133333088,177.05185399999834,177.89467400000092,110.0,0.05974249007243606,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,182.66478099999972,182.66478099999972,182.66478099999972,182.66478099999972,10388.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,181.6673839999936,181.6673839999936,181.6673839999936,181.6673839999936,2256.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,176.61526899999558,176.61526899999558,176.61526899999558,176.61526899999558,767.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,200.10922000000164,200.10922000000164,200.10922000000164,200.10922000000164,38.0,0.019914163357478684,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,180.0,178.96303166666883,177.74456499999758,181.26730500000576,109.0,0.05974249007243606,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,183.69295799999463,183.69295799999463,183.69295799999463,183.69295799999463,543.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,183.28449999999918,183.28449999999918,183.28449999999918,183.28449999999918,38.0,0.019914163357478684,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,176.90995700000656,176.30982866666992,175.85174500000278,176.90995700000656,111.0,0.05974249007243606,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,168.18025100000966,168.18025100000966,168.18025100000966,168.18025100000966,10004.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,169.01108399999032,169.01108399999032,169.01108399999032,169.01108399999032,767.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,170.40786699999444,170.40786699999444,170.40786699999444,170.40786699999444,38.0,0.019914163357478684,0.0,170,170,170,170,170,170,170,170,170,170,170
