Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,20.79058000001055,20.79058000001055,20.79058000001055,20.79058000001055,11988.0,0.05824000842461059,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,21.73292900000945,21.73292900000945,21.73292900000945,21.73292900000945,2048.0,0.05824000842461059,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,55.9500329999949,55.9500329999949,55.9500329999949,55.9500329999949,766.0,0.05824000842461059,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,19.646311999999,19.646311999999,19.646311999999,19.646311999999,38.0,0.05824000842461059,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,22.919641000001434,22.47414566666824,21.740561000001435,22.919641000001434,110.0,0.1747200252738318,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,16.65151099999207,16.65151099999207,16.65151099999207,16.65151099999207,10388.0,0.05824000842461059,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,53.16404900000293,53.16404900000293,53.16404900000293,53.16404900000293,2256.0,0.05824000842461059,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,74.43344600000046,74.43344600000046,74.43344600000046,74.43344600000046,767.0,0.05824000842461059,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,65.56185399999492,65.56185399999492,65.56185399999492,65.56185399999492,38.0,0.05824000842461059,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,68,68.49108033333569,67.88574700000538,69.19791700000388,109.0,0.1747200252738318,0.0,68,68,69,69,69,69,69,69,69,69,69
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,58.04168499999918,58.04168499999918,58.04168499999918,58.04168499999918,543.0,0.05824000842461059,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,18.82178400000356,18.82178400000356,18.82178400000356,18.82178400000356,38.0,0.05824000842461059,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,66,65.98839166666674,65.38238000000263,66.65353399999674,111.0,0.1747200252738318,0.0,66,66,67,67,67,67,67,67,67,67,67
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,21.226808000008646,21.226808000008646,21.226808000008646,21.226808000008646,10004.0,0.05824000842461059,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,69.86465900000383,69.86465900000383,69.86465900000383,69.86465900000383,767.0,0.05824000842461059,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,63.89911099999779,63.89911099999779,63.89911099999779,63.89911099999779,38.0,0.05824000842461059,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,54,54.469060666666756,53.8221130000025,55.1088279999945,109.0,0.1747200252738318,0.0,54,54,55,55,55,55,55,55,55,55,55
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,56.52831000000447,56.52831000000447,56.52831000000447,56.52831000000447,542.0,0.05824000842461059,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,23.811628000004248,23.811628000004248,23.811628000004248,23.811628000004248,38.0,0.05824000842461059,0.0,24,24,24,24,24,24,24,24,24,24,24
