Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,12.424662999990232,12.424662999990232,12.424662999990232,12.424662999990232,11988.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,10.993803000019398,10.993803000019398,10.993803000019398,10.993803000019398,2048.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,10.741030000019691,10.741030000019691,10.741030000019691,10.741030000019691,766.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,11.770740000002888,11.770740000002888,11.770740000002888,11.770740000002888,38.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,14,15.402664666661773,12.446407999988196,19.83822799999757,110.0,0.4348569202556063,0.0,14,14,20,20,20,20,20,20,20,20,20
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,15.845654000003151,15.845654000003151,15.845654000003151,15.845654000003151,10388.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,16.493904000014936,16.493904000014936,16.493904000014936,16.493904000014936,2256.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,10.797228999990693,10.797228999990693,10.797228999990693,10.797228999990693,767.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,17.950329000001375,17.950329000001375,17.950329000001375,17.950329000001375,38.0,0.14495230675186876,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,15,13.988855000008016,11.402169000007234,15.318128000018305,109.0,0.4348569202556063,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,12.080389999994168,12.080389999994168,12.080389999994168,12.080389999994168,543.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,13.822181000023193,13.822181000023193,13.822181000023193,13.822181000023193,38.0,0.14495230675186876,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,13,12.924801666675497,11.59801800000082,13.904758000023776,111.0,0.4348569202556063,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,20.797035000015285,20.797035000015285,20.797035000015285,20.797035000015285,10004.0,0.14495230675186876,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,13.402339999998958,13.402339999998958,13.402339999998958,13.402339999998958,767.0,0.14495230675186876,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,15.59475000001953,15.59475000001953,15.59475000001953,15.59475000001953,38.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,11,10.926171666653772,10.713107999976046,11.095897999979343,109.0,0.4348569202556063,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,13.476050999997824,13.476050999997824,13.476050999997824,13.476050999997824,542.0,0.14495230675186876,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,31.98476000000028,31.98476000000028,31.98476000000028,31.98476000000028,38.0,0.14495230675186876,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,13,13.502071333325224,12.184808000000658,15.116597999991654,110.0,0.4348569202556063,0.0,13,13,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,11.716350000000375,11.716350000000375,11.716350000000375,11.716350000000375,541.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,29.895110000012437,29.895110000012437,29.895110000012437,29.895110000012437,38.0,0.14495230675186876,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,13,12.463357999990876,10.639637999986462,13.695147999982282,109.0,0.4348569202556063,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,16.912590000004002,16.912590000004002,16.912590000004002,16.912590000004002,768.0,0.14495230675186876,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,11.515269000000217,11.515269000000217,11.515269000000217,11.515269000000217,38.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,20,18.609191000005392,13.422319000000016,22.80636700001537,111.0,0.4348569202556063,0.0,20,20,23,23,23,23,23,23,23,23,23
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,14.087432000025046,14.087432000025046,14.087432000025046,14.087432000025046,592.0,0.14495230675186876,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,15.02324399999111,15.02324399999111,15.02324399999111,15.02324399999111,264.0,0.14495230675186876,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,11.109839999988935,11.109839999988935,11.109839999988935,11.109839999988935,768.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,16.099849999989146,16.099849999989146,16.099849999989146,16.099849999989146,38.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,22,22.5708703333396,20.302047000001266,25.21113700001365,109.0,0.4348569202556063,0.0,22,22,25,25,25,25,25,25,25,25,25
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,16.073079999983975,16.073079999983975,16.073079999983975,16.073079999983975,768.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,17.674379999988332,17.674379999988332,17.674379999988332,17.674379999988332,38.0,0.14495230675186876,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,3,0,17,16.70109733333902,14.176697999999988,19.288646000006793,110.0,0.4348569202556063,0.0,17,17,19,19,19,19,19,19,19,19,19
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,1,0,11.255620000014233,11.255620000014233,11.255620000014233,11.255620000014233,767.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/mesh/info,1,0,11.927689999993163,11.927689999993163,11.927689999993163,11.927689999993163,38.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/transform.json,3,0,22.08565700001941,22.322170000004842,22.08565700001941,22.454065999994555,109.0,0.4348569202556063,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/info,1,0,8.102960000002213,8.102960000002213,8.102960000002213,8.102960000002213,768.0,0.14495230675186876,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/mesh/info,1,0,17.731119999979228,17.731119999979228,17.731119999979228,17.731119999979228,38.0,0.14495230675186876,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/transform.json,3,0,14,14.276871333332034,12.985568000004832,15.500067999994371,111.0,0.4348569202556063,0.0,14,14,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_0-64_64-80,1,0,15.739873000001126,15.739873000001126,15.739873000001126,15.739873000001126,2064.0,0.14495230675186876,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/0-64_64-72_64-80,1,0,13.296112999995557,13.296112999995557,13.296112999995557,13.296112999995557,136.0,0.14495230675186876,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_0-64_64-80,1,0,14.562543000010919,14.562543000010919,14.562543000010919,14.562543000010919,520.0,0.14495230675186876,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/80um/64-89_64-72_64-80,1,0,12.245452999991358,12.245452999991358,12.245452999991358,12.245452999991358,72.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/info,1,0,11.102199999982076,11.102199999982076,11.102199999982076,11.102199999982076,768.0,0.14495230675186876,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/mesh/info,1,0,12.222549000000527,12.222549000000527,12.222549000000527,12.222549000000527,38.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_right/transform.json,3,0,14,15.537831333328237,13.602659000014228,18.734386999994967,109.0,0.4348569202556063,0.0,14,14,19,19,19,19,19,19,19,19,19
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb4_left/80um/0-64_0-64_64-72,1,0,11.671073000002252,11.671073000002252,11.671073000002252,11.671073000002252,976.0,0.14495230675186876,0.0,12,12,12,12,12,12,12,12,12,12,12
