Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,10.774375000011105,10.774375000011105,10.774375000011105,10.774375000011105,11988.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,12.341487000000484,12.341487000000484,12.341487000000484,12.341487000000484,2048.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,12.016645999992193,12.016645999992193,12.016645999992193,12.016645999992193,766.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,12.516097000002446,12.516097000002446,12.516097000002446,12.516097000002446,38.0,0.23050364363356227,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,12,12.064565999999388,11.655085999997539,12.718425999999283,110.0,0.6915109309006868,0.0,12,12,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,12.129556000004982,12.129556000004982,12.129556000004982,12.129556000004982,10388.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,12.379285999998046,12.379285999998046,12.379285999998046,12.379285999998046,2256.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,10.577585000007161,10.577585000007161,10.577585000007161,10.577585000007161,767.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,10.200374999996598,10.200374999996598,10.200374999996598,10.200374999996598,38.0,0.23050364363356227,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,10,10.090431666668565,9.35620399999948,10.710746000000881,109.0,0.6915109309006868,0.0,10,10,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,10.610306000003789,10.610306000003789,10.610306000003789,10.610306000003789,543.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,9.371594000000982,9.371594000000982,9.371594000000982,9.371594000000982,38.0,0.23050364363356227,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,13,13.45042033333499,11.435345999998958,16.131678000000704,111.0,0.6915109309006868,0.0,13,13,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,13.025486999993063,13.025486999993063,13.025486999993063,13.025486999993063,10004.0,0.23050364363356227,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,10.579814999999826,10.579814999999826,10.579814999999826,10.579814999999826,767.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,17.42913900000076,17.42913900000076,17.42913900000076,17.42913900000076,38.0,0.23050364363356227,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,12,12.20380266666865,10.651745000004098,13.828386999996667,109.0,0.6915109309006868,0.0,12,12,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,11.925286000007418,11.925286000007418,11.925286000007418,11.925286000007418,542.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,30.2674149999973,30.2674149999973,30.2674149999973,30.2674149999973,38.0,0.23050364363356227,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,11,11.42659866666662,9.806104999995569,13.401756000000375,110.0,0.6915109309006868,0.0,11,11,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,10.644624999997632,10.644624999997632,10.644624999997632,10.644624999997632,541.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,25.43714299999067,25.43714299999067,25.43714299999067,25.43714299999067,38.0,0.23050364363356227,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,10,11.385718999996186,9.985874999998146,13.940606999994998,109.0,0.6915109309006868,0.0,10,10,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,14.143216999997321,14.143216999997321,14.143216999997321,14.143216999997321,768.0,0.23050364363356227,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,12.002035999998384,12.002035999998384,12.002035999998384,12.002035999998384,38.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,11,10.866838999999592,10.57339599999807,11.27974599999959,111.0,0.6915109309006868,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,10.58650499999203,10.58650499999203,10.58650499999203,10.58650499999203,592.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,12.909307000001036,12.909307000001036,12.909307000001036,12.909307000001036,264.0,0.23050364363356227,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,11.06975599999771,11.06975599999771,11.06975599999771,11.06975599999771,768.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,12.140637000001675,12.140637000001675,12.140637000001675,12.140637000001675,38.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,12,11.876185999997327,10.56696499999532,13.213956999997833,109.0,0.6915109309006868,0.0,12,12,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,11.2490949999966,11.2490949999966,11.2490949999966,11.2490949999966,768.0,0.23050364363356227,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,8.865393999997195,8.865393999997195,8.865393999997195,8.865393999997195,38.0,0.23050364363356227,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,3,0,10.90120499999614,10.13518499999814,8.805184999999938,10.90120499999614,110.0,0.6915109309006868,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,1,0,11.804955999991762,11.804955999991762,11.804955999991762,11.804955999991762,767.0,0.23050364363356227,0.0,12,12,12,12,12,12,12,12,12,12,12
