Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,296.21848599998657,296.21848599998657,296.21848599998657,296.21848599998657,11988.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,295.25856799997996,295.25856799997996,295.25856799997996,295.25856799997996,2048.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,408.87969700000326,408.87969700000326,408.87969700000326,408.87969700000326,766.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,294.96845900001745,294.96845900001745,294.96845900001745,294.96845900001745,38.0,0.00890520529995666,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,300.0,331.60745100000594,295.9535370000026,402.75757800000633,110.0,0.02671561589986998,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,294.7797639999976,294.7797639999976,294.7797639999976,294.7797639999976,10388.0,0.00890520529995666,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,409.1470430000186,409.1470430000186,409.1470430000186,409.1470430000186,2256.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,403.34759899999995,403.34759899999995,403.34759899999995,403.34759899999995,767.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,391.3127839999788,391.3127839999788,391.3127839999788,391.3127839999788,38.0,0.00890520529995666,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,400.0,400.947856333327,395.21914700000593,407.3287419999758,109.0,0.02671561589986998,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,402.49735099999384,402.49735099999384,402.49735099999384,402.49735099999384,543.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,412.4008669999739,412.4008669999739,412.4008669999739,412.4008669999739,38.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,300.0,335.1562989999953,295.53475999998113,414.389817,111.0,0.02671561589986998,0.0,300,300,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,402.2389760000067,402.2389760000067,402.2389760000067,402.2389760000067,10004.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,402.3109569999974,402.3109569999974,402.3109569999974,402.3109569999974,767.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,296.1366700000099,296.1366700000099,296.1366700000099,296.1366700000099,38.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,300.0,332.99662966667637,298.56783100001394,401.77342699999485,109.0,0.02671561589986998,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,295.82129100001,295.82129100001,295.82129100001,295.82129100001,542.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,297.2921070000041,297.2921070000041,297.2921070000041,297.2921070000041,38.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,400.0,402.8202876666664,397.49261200000774,411.2964649999924,110.0,0.02671561589986998,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,412.96424600000137,412.96424600000137,412.96424600000137,412.96424600000137,541.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,295.67433400001164,295.67433400001164,295.67433400001164,295.67433400001164,38.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,300.0,332.1009433333302,296.6019079999853,402.88302400000475,109.0,0.02671561589986998,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,1209.6870789999912,1209.6870789999912,1209.6870789999912,1209.6870789999912,768.0,0.00890520529995666,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,1090.9299349999912,1090.9299349999912,1090.9299349999912,1090.9299349999912,38.0,0.00890520529995666,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,300.0,329.15545500000576,295.8729639999831,395.614868000024,111.0,0.02671561589986998,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,415.8391500000107,415.8391500000107,415.8391500000107,415.8391500000107,592.0,0.00890520529995666,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,294.82671200000254,294.82671200000254,294.82671200000254,294.82671200000254,264.0,0.00890520529995666,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,402.60522799999876,402.60522799999876,402.60522799999876,402.60522799999876,768.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,391.9109379999952,391.9109379999952,391.9109379999952,391.9109379999952,38.0,0.00890520529995666,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,410.0,407.47056933333664,400.043433999997,414.18758000000366,109.0,0.02671561589986998,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,407.0619959999817,407.0619959999817,407.0619959999817,407.0619959999817,768.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,294.96934700000565,294.96934700000565,294.96934700000565,294.96934700000565,38.0,0.00890520529995666,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/transform.json,3,0,300.0,328.91290299999315,295.7121670000049,395.2904249999847,110.0,0.02671561589986998,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/info,1,0,405.3662919999965,405.3662919999965,405.3662919999965,405.3662919999965,767.0,0.00890520529995666,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/mesh/info,1,0,402.9230109999844,402.9230109999844,402.9230109999844,402.9230109999844,38.0,0.00890520529995666,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_right/transform.json,3,0,400.0,368.05190566666585,295.24936799998613,406.6051679999987,109.0,0.02671561589986998,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/info,1,0,296.3020100000051,296.3020100000051,296.3020100000051,296.3020100000051,768.0,0.00890520529995666,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/mesh/info,1,0,308.0728730000146,308.0728730000146,308.0728730000146,308.0728730000146,38.0,0.00890520529995666,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb3_left/transform.json,3,0,399.59960099997716,364.0032596666553,295.5506289999903,399.59960099997716,111.0,0.02671561589986998,0.0,400,400,400,400,400,400,400,400,400,400,400
