Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,144.13779699999907,144.13779699999907,144.13779699999907,144.13779699999907,65842.0,0.06267288614364819,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,138.01223299999776,138.01223299999776,138.01223299999776,138.01223299999776,0.0,0.06267288614364819,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/pli-bigbrain/masked/precomputed/info,1,0,179.76616100000342,179.76616100000342,179.76616100000342,179.76616100000342,985.0,0.06267288614364819,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,181.69856300001186,181.69856300001186,181.69856300001186,181.69856300001186,227.0,0.06267288614364819,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,9.300731000010387,9.300731000010387,9.300731000010387,9.300731000010387,766.0,0.06267288614364819,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,13.984006999990584,13.984006999990584,13.984006999990584,13.984006999990584,38.0,0.06267288614364819,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,8,8.297435333337452,7.337178000000222,9.122145000006299,110.0,0.18801865843094456,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,8.301944999999478,8.301944999999478,8.301944999999478,8.301944999999478,767.0,0.06267288614364819,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,9.34420100000466,9.34420100000466,9.34420100000466,9.34420100000466,38.0,0.06267288614364819,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,8,7.718617000004239,7.158040999996729,8.055949000009832,109.0,0.18801865843094456,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,6.767385000003401,6.767385000003401,6.767385000003401,6.767385000003401,543.0,0.06267288614364819,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,9.239433000004738,9.239433000004738,9.239433000004738,9.239433000004738,38.0,0.06267288614364819,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,9,8.541686333330745,7.294260999998414,9.724507000001381,111.0,0.18801865843094456,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,6.77260700000204,6.77260700000204,6.77260700000204,6.77260700000204,767.0,0.06267288614364819,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,9.288051999988056,9.288051999988056,9.288051999988056,9.288051999988056,38.0,0.06267288614364819,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,6,7.010766333332678,5.940297999998734,8.849417999996945,109.0,0.18801865843094456,0.0,6,6,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,8.303385000004937,8.303385000004937,8.303385000004937,8.303385000004937,542.0,0.06267288614364819,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,8.1793279999971,8.1793279999971,8.1793279999971,8.1793279999971,38.0,0.06267288614364819,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,9,9.49111266667065,8.431614000002696,10.572584000001939,110.0,0.18801865843094456,0.0,9,9,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,9.886073999993528,9.886073999993528,9.886073999993528,9.886073999993528,541.0,0.06267288614364819,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,10.576983999996514,10.576983999996514,10.576983999996514,10.576983999996514,38.0,0.06267288614364819,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,7.304179000001909,7.559228333335,7.304179000001909,7.932209000003354,109.0,0.18801865843094456,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/0-64_64-78_0-60,1,0,14.951572000001079,14.951572000001079,14.951572000001079,14.951572000001079,1680.0,0.06267288614364819,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/64-96_64-78_0-60,1,0,7.065971000002946,7.065971000002946,7.065971000002946,7.065971000002946,1040.0,0.06267288614364819,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,30.436289999997257,30.436289999997257,30.436289999997257,30.436289999997257,768.0,0.06267288614364819,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,5.602371999998468,5.602371999998468,5.602371999998468,5.602371999998468,38.0,0.06267288614364819,0.0,6,6,6,6,6,6,6,6,6,6,6
