Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,534.6252340000035,534.6252340000035,534.6252340000035,534.6252340000035,65842.0,0.007404004079751874,0.0,530,530,530,530,530,530,530,530,530,530,530
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,414.66225099999576,414.66225099999576,414.66225099999576,414.66225099999576,0.0,0.007404004079751874,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/pli-bigbrain/masked/precomputed/info,1,0,688.2989550000076,688.2989550000076,688.2989550000076,688.2989550000076,985.0,0.007404004079751874,0.0,690,690,690,690,690,690,690,690,690,690,690
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,843.1337979999967,843.1337979999967,843.1337979999967,843.1337979999967,227.0,0.007404004079751874,0.0,840,840,840,840,840,840,840,840,840,840,840
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,102.20221699999854,102.20221699999854,102.20221699999854,102.20221699999854,766.0,0.007404004079751874,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,95.82758999999896,95.82758999999896,95.82758999999896,95.82758999999896,38.0,0.007404004079751874,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,96.10387300000411,97.3650506666625,96.10387300000411,99.88125199998876,110.0,0.022212012239255622,0.0,96,96,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,102.33255500000382,102.33255500000382,102.33255500000382,102.33255500000382,767.0,0.007404004079751874,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,100.45609399999478,100.45609399999478,100.45609399999478,100.45609399999478,38.0,0.007404004079751874,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,98,98.34259699999848,96.8230750000032,99.97499699998968,109.0,0.022212012239255622,0.0,98,98,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,96.45390500000417,96.45390500000417,96.45390500000417,96.45390500000417,543.0,0.007404004079751874,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,109.19584200000543,109.19584200000543,109.19584200000543,109.19584200000543,38.0,0.007404004079751874,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,97,97.62694466666251,95.4462729999932,99.95085099998846,111.0,0.022212012239255622,0.0,97,97,100,100,100,100,100,100,100,100,100
