Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,1197.1876399999956,1197.1876399999956,1197.1876399999956,1197.1876399999956,65842.0,0.008668838610697118,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,613.6115559999951,613.6115559999951,613.6115559999951,613.6115559999951,0.0,0.008668838610697118,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/pli-bigbrain/masked/precomputed/info,1,0,898.5380060000097,898.5380060000097,898.5380060000097,898.5380060000097,985.0,0.008668838610697118,0.0,900,900,900,900,900,900,900,900,900,900,900
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,929.4366929999995,929.4366929999995,929.4366929999995,929.4366929999995,227.0,0.008668838610697118,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,164.08358600000383,164.08358600000383,164.08358600000383,164.08358600000383,766.0,0.008668838610697118,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,166.66440399998805,166.66440399998805,166.66440399998805,166.66440399998805,38.0,0.008668838610697118,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,164.6652669999895,165.52409733333207,164.6652669999895,167.1466869999989,110.0,0.02600651583209135,0.0,160,160,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,166.37645100000498,166.37645100000498,166.37645100000498,166.37645100000498,767.0,0.008668838610697118,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,159.34120800000073,159.34120800000073,159.34120800000073,159.34120800000073,38.0,0.008668838610697118,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,161.28852900000368,163.47363866666834,161.28852900000368,164.6503569999993,109.0,0.02600651583209135,0.0,160,160,160,160,160,160,160,160,160,160,160
