Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,3219.9064570000073,3219.9064570000073,3219.9064570000073,3219.9064570000073,65842.0,0.004110745855572777,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,1517.116422000001,1517.116422000001,1517.116422000001,1517.116422000001,0.0,0.004110745855572777,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/pli-bigbrain/masked/precomputed/info,1,0,2872.3153029999935,2872.3153029999935,2872.3153029999935,2872.3153029999935,985.0,0.004110745855572777,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,3016.728069999999,3016.728069999999,3016.728069999999,3016.728069999999,227.0,0.004110745855572777,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,296.239546999999,296.239546999999,296.239546999999,296.239546999999,766.0,0.004110745855572777,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,293.88767800000437,293.88767800000437,293.88767800000437,293.88767800000437,38.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,300.0,327.7296663333402,294.24075900001867,393.64645300000234,110.0,0.012332237566718333,0.0,300,300,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,293.8223480000204,293.8223480000204,293.8223480000204,293.8223480000204,767.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,293.6826279999991,293.6826279999991,293.6826279999991,293.6826279999991,38.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,300.0,330.93297600000443,295.87377999999376,400.40176600001587,109.0,0.012332237566718333,0.0,300,300,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,416.85923699998284,416.85923699998284,416.85923699998284,416.85923699998284,543.0,0.004110745855572777,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,390.6653580000068,390.6653580000068,390.6653580000068,390.6653580000068,38.0,0.004110745855572777,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,300.0,328.0403023333349,295.06050899999536,393.84269399999994,111.0,0.012332237566718333,0.0,300,300,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,399.3528580000145,399.3528580000145,399.3528580000145,399.3528580000145,767.0,0.004110745855572777,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,293.9908029999856,293.9908029999856,293.9908029999856,293.9908029999856,38.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,297.3512430000085,296.22465766667005,295.09717600001295,297.3512430000085,109.0,0.012332237566718333,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,390.31053700000484,390.31053700000484,390.31053700000484,390.31053700000484,542.0,0.004110745855572777,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,423.68544599997904,423.68544599997904,423.68544599997904,423.68544599997904,38.0,0.004110745855572777,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,390.0,363.06843933333727,294.9693600000103,400.05857899998887,110.0,0.012332237566718333,0.0,390,390,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,297.725129000014,297.725129000014,297.725129000014,297.725129000014,541.0,0.004110745855572777,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,296.37100799999416,296.37100799999416,296.37100799999416,296.37100799999416,38.0,0.004110745855572777,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,296.7173399999865,295.87494833333494,294.8393980000219,296.7173399999865,109.0,0.012332237566718333,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/0-64_64-78_0-60,1,0,296.4357270000164,296.4357270000164,296.4357270000164,296.4357270000164,1680.0,0.004110745855572777,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/64-96_64-78_0-60,1,0,293.1086220000054,293.1086220000054,293.1086220000054,293.1086220000054,1040.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,294.0243459999863,294.0243459999863,294.0243459999863,294.0243459999863,768.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,296.22459600000184,296.22459600000184,296.22459600000184,296.22459600000184,38.0,0.004110745855572777,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,296.9809919999875,296.4447666666672,295.43481500002144,296.9809919999875,111.0,0.012332237566718333,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,391.2090069999863,391.2090069999863,391.2090069999863,391.2090069999863,768.0,0.004110745855572777,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,293.89337899999646,293.89337899999646,293.89337899999646,293.89337899999646,38.0,0.004110745855572777,0.0,290,290,290,290,290,290,290,290,290,290,290
