Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,3826.998126999996,3826.998126999996,3826.998126999996,3826.998126999996,65842.0,0.0016311840045201353,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,432.37032500000794,432.37032500000794,432.37032500000794,432.37032500000794,0.0,0.0016311840045201353,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/pli-bigbrain/masked/precomputed/info,1,0,2588.281139000003,2588.281139000003,2588.281139000003,2588.281139000003,985.0,0.0016311840045201353,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,2382.1046950000095,2382.1046950000095,2382.1046950000095,2382.1046950000095,227.0,0.0016311840045201353,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,408.824922000008,408.824922000008,408.824922000008,408.824922000008,766.0,0.0016311840045201353,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,407.09816899999396,407.09816899999396,407.09816899999396,407.09816899999396,38.0,0.0016311840045201353,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,410.0,407.53882499999844,403.3054549999804,410.45690199999285,110.0,0.004893552013560405,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,302.79813999999305,302.79813999999305,302.79813999999305,302.79813999999305,767.0,0.0016311840045201353,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,413.03984300000707,413.03984300000707,413.03984300000707,413.03984300000707,38.0,0.0016311840045201353,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,301.6581379999934,339.6723366666663,301.6581379999934,414.2142050000075,109.0,0.004893552013560405,0.0,300,300,410,410,410,410,410,410,410,410,410
