Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758010091,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758010092,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758010093,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758010094,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758010095,1,,Aggregated,0.000000,0.000000,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,1,0,3761.7844149999937,3761.7844149999937,3761.7844149999937,3761.7844149999937,47.0
1758010096,1,,Aggregated,0.000000,0.000000,4100,4100,4500,4500,4900,4900,4900,4900,4900,4900,4900,6,0,4100.0,3629.1896399999973,402.47446699999045,4910.976503000001,2512.6666666666665
1758010097,1,,Aggregated,0.000000,0.000000,3800,4100,4500,4500,4900,5300,5300,5300,5300,5300,5300,11,0,3800.0,2708.4955628181797,304.7170409999893,5345.336849000006,18775.454545454544
1758010098,1,,Aggregated,0.000000,0.000000,2400,4100,4100,4500,4900,5300,5300,5300,5300,5300,5300,14,0,1600.0,2381.9897845714268,304.7170409999893,5345.336849000006,70454.0
1758010099,1,,Aggregated,1.000000,0.000000,1600,3800,4100,4500,4900,5300,5300,5300,5300,5300,5300,15,0,1600.0,2250.875101733332,304.7170409999893,5345.336849000006,65909.06666666667
1758010100,1,,Aggregated,2.000000,0.000000,1300,3800,4100,4100,4900,5300,5300,5300,5300,5300,5300,17,0,1300.0,2085.790122882352,304.7170409999893,5345.336849000006,59570.529411764706
1758010101,1,,Aggregated,1.875000,0.000000,1300,2400,4100,4100,4900,5300,5300,5300,5300,5300,5300,18,0,940.0,2022.0845126666661,304.7170409999893,5345.336849000006,56389.333333333336
1758010102,1,,Aggregated,1.777778,0.000000,830,1600,3800,4100,4500,4900,5300,5300,5300,5300,5300,24,1,420.0,1753.3136536249992,304.7170409999893,5345.336849000006,45606.75
1758010103,1,,Aggregated,1.700000,0.000000,430,1300,3800,3800,4500,4900,5300,5300,5300,5300,5300,27,1,430.0,1608.0606703703695,304.6773519999988,5345.336849000006,41209.07407407407
1758010104,1,,Aggregated,2.100000,0.000000,420,940,2400,3800,4500,4900,5300,5300,5300,5300,5300,30,1,420.0,1477.8801281666647,304.6773519999988,5345.336849000006,37339.9
1758010105,1,,Aggregated,2.600000,0.100000,420,830,1600,3800,4100,4900,5300,5300,5300,5300,5300,33,1,420.0,1371.461799393938,304.6773519999988,5345.336849000006,34242.21212121212
1758010106,1,,Aggregated,2.900000,0.100000,420,830,1600,3800,4100,4900,5300,5300,5300,5300,5300,35,1,420.0,1327.946224857142,304.6773519999988,5345.336849000006,35172.4
1758010107,1,,Aggregated,2.900000,0.100000,420,610,1600,2400,4100,4900,5300,5300,5300,5300,5300,36,1,420.0,1308.1313172777773,304.6773519999988,5345.336849000006,39327.333333333336
1758010108,1,,Aggregated,2.900000,0.100000,430,830,2400,3800,4900,11000,12000,12000,12000,12000,12000,39,1,430.0,1814.6883573076914,304.6773519999988,12273.983838999997,69508.17948717948
1758010109,1,,Aggregated,2.700000,0.100000,420,830,1600,3800,4500,5300,12000,12000,12000,12000,12000,43,1,420.0,1688.6682733720918,304.6773519999988,12273.983838999997,71753.88372093023
1758010110,1,,Aggregated,2.400000,0.100000,430,830,1600,2400,4500,5300,12000,12000,12000,12000,12000,48,1,420.0,1616.266881875,304.6773519999988,12273.983838999997,68053.25
1758010111,1,,Aggregated,2.400000,0.100000,420,830,1600,2400,4500,5300,12000,12000,12000,12000,12000,50,1,420.0,1564.3841726400005,304.6773519999988,12273.983838999997,65511.56
1758010112,1,,Aggregated,3.000000,0.100000,420,670,1300,1800,4100,5300,11000,12000,12000,12000,12000,57,1,420.0,1466.5048249649133,304.6773519999988,12273.983838999997,62741.40350877193
1758010113,1,,Aggregated,3.300000,0.100000,600,610,1300,1600,4100,4900,11000,12000,12000,12000,12000,63,1,600.0,1384.6038390793665,304.6773519999988,12273.983838999997,60860.57142857143
1758010114,1,,Aggregated,3.300000,0.100000,600,610,940,1600,4100,4900,11000,12000,12000,12000,12000,67,1,600.0,1335.288138850748,304.6773519999988,12273.983838999997,59772.02985074627
1758010115,1,,Aggregated,3.300000,0.100000,600,610,920,1600,4100,4900,11000,12000,12000,12000,12000,69,1,600.0,1313.2617048115958,304.6773519999988,12273.983838999997,59270.811594202896
1758010116,1,,Aggregated,3.500000,0.000000,600,670,940,1600,3800,4900,11000,12000,12000,12000,12000,73,1,600.0,1291.264273780824,301.98282699998913,12273.983838999997,56036.0
1758010117,1,,Aggregated,3.700000,0.000000,420,610,920,1300,3800,4900,11000,12000,12000,12000,12000,78,1,420.0,1230.4896282051302,301.78546999999867,12273.983838999997,52550.153846153844
1758010118,1,,Aggregated,3.600000,0.000000,420,610,910,1300,3800,4500,11000,12000,12000,12000,12000,85,1,420.0,1196.9009286235312,301.78546999999867,12273.983838999997,48909.49411764706
