Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,144.29421199999126,144.29421199999126,144.29421199999126,144.29421199999126,65842.0,0.04985786367881928,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,98.48976299998924,98.48976299998924,98.48976299998924,98.48976299998924,0.0,0.04985786367881928,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/pli-bigbrain/masked/precomputed/info,1,0,110.25818800000309,110.25818800000309,110.25818800000309,110.25818800000309,985.0,0.04985786367881928,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,110.503738999995,110.503738999995,110.503738999995,110.503738999995,227.0,0.04985786367881928,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,8.584894000009058,8.584894000009058,8.584894000009058,8.584894000009058,766.0,0.04985786367881928,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,6.801274000011404,6.801274000011404,6.801274000011404,6.801274000011404,38.0,0.04985786367881928,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,7,7.166256666669331,6.148483000004035,8.200364000003901,110.0,0.14957359103645784,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,7.132933000008279,7.132933000008279,7.132933000008279,7.132933000008279,767.0,0.04985786367881928,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,9.027493000004938,9.027493000004938,9.027493000004938,9.027493000004938,38.0,0.04985786367881928,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,7,6.737966333332679,6.170443000002024,7.170002999998815,109.0,0.14957359103645784,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,6.047531999996636,6.047531999996636,6.047531999996636,6.047531999996636,543.0,0.04985786367881928,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,10.648674999998775,10.648674999998775,10.648674999998775,10.648674999998775,38.0,0.04985786367881928,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,7,7.142833333328251,6.024721999992266,8.220944000001396,111.0,0.14957359103645784,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,8.132224000007682,8.132224000007682,8.132224000007682,8.132224000007682,767.0,0.04985786367881928,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,7.593511999999691,7.593511999999691,7.593511999999691,7.593511999999691,38.0,0.04985786367881928,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,7,6.478202999995612,5.346551999991789,7.569463999999471,109.0,0.14957359103645784,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,35.978716000002464,35.978716000002464,35.978716000002464,35.978716000002464,542.0,0.04985786367881928,0.0,36,36,36,36,36,36,36,36,36,36,36
