Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,2428.7196610000024,2428.7196610000024,2428.7196610000024,2428.7196610000024,65842.0,0.004144040542717568,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,1340.6266439999968,1340.6266439999968,1340.6266439999968,1340.6266439999968,0.0,0.004144040542717568,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/pli-bigbrain/masked/precomputed/info,1,0,2846.493570000007,2846.493570000007,2846.493570000007,2846.493570000007,985.0,0.004144040542717568,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,3052.4657549999856,3052.4657549999856,3052.4657549999856,3052.4657549999856,227.0,0.004144040542717568,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,305.99984200000563,305.99984200000563,305.99984200000563,305.99984200000563,766.0,0.004144040542717568,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,307.7739339999823,307.7739339999823,307.7739339999823,307.7739339999823,38.0,0.004144040542717568,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,410.0,382.53532300001325,307.3859370000207,427.0615410000005,110.0,0.012432121628152703,0.0,410,410,430,430,430,430,430,430,430,430,430
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,412.26689000001215,412.26689000001215,412.26689000001215,412.26689000001215,767.0,0.004144040542717568,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,306.99644699998885,306.99644699998885,306.99644699998885,306.99644699998885,38.0,0.004144040542717568,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,310.0,341.7237263333277,306.3426760000141,412.3160789999929,109.0,0.012432121628152703,0.0,310,310,410,410,410,410,410,410,410,410,410
