Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,149.5927800000061,149.5927800000061,149.5927800000061,149.5927800000061,65842.0,0.08712206713674969,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,124.75574799999833,124.75574799999833,124.75574799999833,124.75574799999833,0.0,0.08712206713674969,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/pli-bigbrain/masked/precomputed/info,1,0,165.75337000000445,165.75337000000445,165.75337000000445,165.75337000000445,985.0,0.08712206713674969,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,166.18745399999568,166.18745399999568,166.18745399999568,166.18745399999568,227.0,0.08712206713674969,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,8.560576000007813,8.560576000007813,8.560576000007813,8.560576000007813,766.0,0.08712206713674969,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,9.016724000005638,9.016724000005638,9.016724000005638,9.016724000005638,38.0,0.08712206713674969,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,9,8.714297666666463,7.579601999992747,9.855420000008053,110.0,0.2613662014102491,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,7.519688000002134,7.519688000002134,7.519688000002134,7.519688000002134,767.0,0.08712206713674969,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,8.865043000000128,8.865043000000128,8.865043000000128,8.865043000000128,38.0,0.08712206713674969,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,7,7.154963666659834,6.569010999996294,7.939111999988313,109.0,0.2613662014102491,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,6.4741329999975505,6.4741329999975505,6.4741329999975505,6.4741329999975505,543.0,0.08712206713674969,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,9.580643999996141,9.580643999996141,9.580643999996141,9.580643999996141,38.0,0.08712206713674969,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,9,8.498356666663653,7.638735000000452,9.145075999995811,111.0,0.2613662014102491,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,7.270949000002247,7.270949000002247,7.270949000002247,7.270949000002247,767.0,0.08712206713674969,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,6.007914000008441,6.007914000008441,6.007914000008441,6.007914000008441,38.0,0.08712206713674969,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,7,6.712560000006344,5.437213000007546,7.513971000008723,109.0,0.2613662014102491,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,7.7883590000027425,7.7883590000027425,7.7883590000027425,7.7883590000027425,542.0,0.08712206713674969,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,7.700206000009757,7.700206000009757,7.700206000009757,7.700206000009757,38.0,0.08712206713674969,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,8,8.248301333329286,7.611277999998833,9.442863999993278,110.0,0.2613662014102491,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,7.974786000005452,7.974786000005452,7.974786000005452,7.974786000005452,541.0,0.08712206713674969,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,6.258826000006934,6.258826000006934,6.258826000006934,6.258826000006934,38.0,0.08712206713674969,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,7,6.863302999998193,6.130725000005555,7.673519999997325,109.0,0.2613662014102491,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/0-64_64-78_0-60,1,0,9.164213999994786,9.164213999994786,9.164213999994786,9.164213999994786,1680.0,0.08712206713674969,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/64-96_64-78_0-60,1,0,20.23054200000729,20.23054200000729,20.23054200000729,20.23054200000729,1040.0,0.08712206713674969,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,10.87233799999865,10.87233799999865,10.87233799999865,10.87233799999865,768.0,0.08712206713674969,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,7.73108299999592,7.73108299999592,7.73108299999592,7.73108299999592,38.0,0.08712206713674969,0.0,8,8,8,8,8,8,8,8,8,8,8
