Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758075980,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758075981,1,,Aggregated,0.000000,0.000000,13,37,53,88,200,260,270,270,280,280,280,114,2,13,51.44556928947306,5.457617999994113,280.686579999994,101766.69298245614
1758075982,1,,Aggregated,0.000000,0.000000,12,16,21,29,60,130,210,270,350,350,350,418,6,12,28.621341523923313,5.342856999988044,346.72995399999706,174839.4019138756
1758075983,1,,Aggregated,72.000000,1.000000,8,10,13,16,35,57,130,210,350,350,350,994,6,8,18.10059829074431,5.342856999988044,346.72995399999706,80252.17505030181
1758075984,1,,Aggregated,177.000000,1.500000,9,12,15,18,33,53,130,200,350,350,350,1319,6,9,18.10543641849868,5.342856999988044,350.86481000000447,97814.64973464746
1758075985,1,,Aggregated,300.333333,2.000000,9,13,17,20,37,59,130,200,350,400,400,1581,6,9,19.24730844781759,5.342856999988044,398.52179300000046,98212.79949399114
1758075986,1,,Aggregated,321.750000,1.500000,10,14,18,21,36,55,120,170,350,400,400,1916,8,10,19.04926436012499,5.342856999988044,398.52179300000046,109136.4624217119
1758075987,1,,Aggregated,307.000000,1.200000,11,15,19,22,37,55,110,150,350,400,400,2224,8,11,19.207748809801977,5.342856999988044,398.52179300000046,118715.45368705037
1758075988,1,,Aggregated,301.000000,1.000000,12,16,19,21,36,54,92,140,350,400,400,2575,8,12,18.997314297475516,5.342856999988044,398.52179300000046,122434.11766990292
1758075989,1,,Aggregated,305.142857,1.142857,12,16,19,22,37,54,98,140,350,400,400,2852,8,12,19.25524286465624,5.342856999988044,398.52179300000046,123139.38639551192
1758075990,1,,Aggregated,312.625000,1.000000,12,16,20,22,37,54,110,140,320,400,400,3109,9,12,19.726956585075445,5.342856999988044,398.52179300000046,121913.01029269861
1758075991,1,,Aggregated,309.111111,0.888889,12,16,19,21,36,54,120,140,320,400,400,3526,9,12,19.054099889960153,5.342856999988044,398.52179300000046,110986.9909245604
1758075992,1,,Aggregated,309.111111,0.888889,12,16,19,21,36,55,120,140,320,400,400,3535,9,12,19.319821869589678,5.342856999988044,398.52179300000046,110707.57736916549
1758075993,1,,Aggregated,309.111111,0.888889,12,16,19,21,36,55,120,140,320,400,400,3535,9,12,19.319821869589678,5.342856999988044,398.52179300000046,110707.57736916549
1758075994,1,,Aggregated,309.111111,0.888889,12,16,19,21,36,55,120,140,320,400,400,3535,9,12,19.319821869589678,5.342856999988044,398.52179300000046,110707.57736916549
1758075995,1,,Aggregated,309.111111,0.888889,12,16,19,21,36,55,120,140,320,400,400,3535,9,12,19.319821869589678,5.342856999988044,398.52179300000046,110707.57736916549
