Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,703.8869440000042,703.8869440000042,703.8869440000042,703.8869440000042,65842.0,0.014560859622508157,0.0,700,700,700,700,700,700,700,700,700,700,700
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,375.80706299999633,375.80706299999633,375.80706299999633,375.80706299999633,0.0,0.014560859622508157,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/pli-bigbrain/masked/precomputed/info,1,0,419.5014530000094,419.5014530000094,419.5014530000094,419.5014530000094,985.0,0.014560859622508157,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,449.6647950000039,449.6647950000039,449.6647950000039,449.6647950000039,227.0,0.014560859622508157,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,100.17460400000289,100.17460400000289,100.17460400000289,100.17460400000289,766.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,101.88448200000266,101.88448200000266,101.88448200000266,101.88448200000266,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,99,98.07021899999313,95.90590599999871,99.245432999993,110.0,0.04368257886752447,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,99.32288500000652,99.32288500000652,99.32288500000652,99.32288500000652,767.0,0.014560859622508157,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,100.34624299998995,100.34624299998995,100.34624299998995,100.34624299998995,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,97,96.46258266666526,95.34702999999922,97.0775309999965,109.0,0.04368257886752447,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,95.67976199998895,95.67976199998895,95.67976199998895,95.67976199998895,543.0,0.014560859622508157,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,99.26724199999626,99.26724199999626,99.26724199999626,99.26724199999626,38.0,0.014560859622508157,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,99,97.95794199999837,95.95794799999169,99.18641100000514,111.0,0.04368257886752447,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,100.03944099999273,100.03944099999273,100.03944099999273,100.03944099999273,767.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,101.2701829999969,101.2701829999969,101.2701829999969,101.2701829999969,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,96.91554500000166,96.24743900000017,95.15239399999587,96.91554500000166,109.0,0.04368257886752447,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,100.73223700000256,100.73223700000256,100.73223700000256,100.73223700000256,542.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,96.01662100000397,96.01662100000397,96.01662100000397,96.01662100000397,38.0,0.014560859622508157,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,99,98.43946266667085,95.86871500000882,100.07612699999413,110.0,0.04368257886752447,0.0,99,99,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,100.21698500000298,100.21698500000298,100.21698500000298,100.21698500000298,541.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,100.66285099999561,100.66285099999561,100.66285099999561,100.66285099999561,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,96,96.6306310000012,95.34231199999965,98.42394899999363,109.0,0.04368257886752447,0.0,96,96,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/0-64_64-78_0-60,1,0,95.43812699999421,95.43812699999421,95.43812699999421,95.43812699999421,1680.0,0.014560859622508157,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/64-96_64-78_0-60,1,0,97.76596399998994,97.76596399998994,97.76596399998994,97.76596399998994,1040.0,0.014560859622508157,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,100.36517500000741,100.36517500000741,100.36517500000741,100.36517500000741,768.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,95.80621099999576,95.80621099999576,95.80621099999576,95.80621099999576,38.0,0.014560859622508157,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,99,97.91115066667071,95.51485100000434,99.21326300000999,111.0,0.04368257886752447,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,101.69004399999437,101.69004399999437,101.69004399999437,101.69004399999437,768.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,101.56338499999151,101.56338499999151,101.56338499999151,101.56338499999151,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,97.28893899999491,97.38565166666528,97.28893899999491,97.54958599999952,109.0,0.04368257886752447,0.0,97,97,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,100.5944600000106,100.5944600000106,100.5944600000106,100.5944600000106,768.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,101.88913100000718,101.88913100000718,101.88913100000718,101.88913100000718,38.0,0.014560859622508157,0.0,100,100,100,100,100,100,100,100,100,100,100
