Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,1217.873326000003,1217.873326000003,1217.873326000003,1217.873326000003,65842.0,0.008868122063309527,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,609.7575999999947,609.7575999999947,609.7575999999947,609.7575999999947,0.0,0.008868122063309527,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/pli-bigbrain/masked/precomputed/info,1,0,872.9292360000045,872.9292360000045,872.9292360000045,872.9292360000045,985.0,0.008868122063309527,0.0,870,870,870,870,870,870,870,870,870,870,870
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,942.8823899999941,942.8823899999941,942.8823899999941,942.8823899999941,227.0,0.008868122063309527,0.0,940,940,940,940,940,940,940,940,940,940,940
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,162.66563300000314,162.66563300000314,162.66563300000314,162.66563300000314,766.0,0.008868122063309527,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,162.94755599999178,162.94755599999178,162.94755599999178,162.94755599999178,38.0,0.008868122063309527,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,162.35453599999516,162.88374733332964,162.35453599999516,163.793351999999,110.0,0.02660436618992858,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,163.26214499999026,163.26214499999026,163.26214499999026,163.26214499999026,767.0,0.008868122063309527,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,162.63978599999973,162.63978599999973,162.63978599999973,162.63978599999973,38.0,0.008868122063309527,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,162.7496140000062,163.46750900000018,162.7496140000062,164.20527699999354,109.0,0.02660436618992858,0.0,160,160,160,160,160,160,160,160,160,160,160
