Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,2463.1051440000106,2463.1051440000106,2463.1051440000106,2463.1051440000106,65842.0,0.004057066433288567,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,1242.988095000001,1242.988095000001,1242.988095000001,1242.988095000001,0.0,0.004057066433288567,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/pli-bigbrain/masked/precomputed/info,1,0,2674.634024999989,2674.634024999989,2674.634024999989,2674.634024999989,985.0,0.004057066433288567,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,2385.9834589999878,2385.9834589999878,2385.9834589999878,2385.9834589999878,227.0,0.004057066433288567,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,400.6439709999938,400.6439709999938,400.6439709999938,400.6439709999938,766.0,0.004057066433288567,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,387.1526000000074,387.1526000000074,387.1526000000074,387.1526000000074,38.0,0.004057066433288567,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,400.0,565.0712193333334,293.41332800001396,1002.8027250000093,110.0,0.012171199299865702,0.0,400,400,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,391.1508040000058,391.1508040000058,391.1508040000058,391.1508040000058,767.0,0.004057066433288567,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,293.96961500000884,293.96961500000884,293.96961500000884,293.96961500000884,38.0,0.004057066433288567,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,400.0,398.53903399999996,390.1499899999976,404.7066530000052,109.0,0.012171199299865702,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,435.07052300000737,435.07052300000737,435.07052300000737,435.07052300000737,543.0,0.004057066433288567,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,391.4242680000086,391.4242680000086,391.4242680000086,391.4242680000086,38.0,0.004057066433288567,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,400.0,364.86602700000503,294.82133199999794,400.85192099999745,111.0,0.012171199299865702,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,293.71358599999553,293.71358599999553,293.71358599999553,293.71358599999553,767.0,0.004057066433288567,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,294.2029419999983,294.2029419999983,294.2029419999983,294.2029419999983,38.0,0.004057066433288567,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,430.0,674.8764573333309,390.57052999999087,1206.8465760000038,109.0,0.012171199299865702,0.0,430,430,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,402.10053600000606,402.10053600000606,402.10053600000606,402.10053600000606,542.0,0.004057066433288567,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,419.60009799998943,419.60009799998943,419.60009799998943,419.60009799998943,38.0,0.004057066433288567,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,400.0,402.2688179999913,398.97148599999355,407.00709300000426,110.0,0.012171199299865702,0.0,400,400,410,410,410,410,410,410,410,410,410
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,293.1303000000014,293.1303000000014,293.1303000000014,293.1303000000014,541.0,0.004057066433288567,0.0,290,290,290,290,290,290,290,290,290,290,290
