Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,101.03198999999563,101.03198999999563,101.03198999999563,101.03198999999563,65842.0,0.0588286232656597,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,190.17894299999227,190.17894299999227,190.17894299999227,190.17894299999227,0.0,0.0588286232656597,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/pli-bigbrain/masked/precomputed/info,1,0,141.33005399999377,141.33005399999377,141.33005399999377,141.33005399999377,985.0,0.0588286232656597,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,146.5844389999944,146.5844389999944,146.5844389999944,146.5844389999944,227.0,0.0588286232656597,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,6.031069000002276,6.031069000002276,6.031069000002276,6.031069000002276,766.0,0.0588286232656597,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,8.26990000000194,8.26990000000194,8.26990000000194,8.26990000000194,38.0,0.0588286232656597,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,7,7.164732666666396,6.066618999994944,8.335741999999868,110.0,0.1764858697969791,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,7.5983920000055605,7.5983920000055605,7.5983920000055605,7.5983920000055605,767.0,0.0588286232656597,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,6.217329999998356,6.217329999998356,6.217329999998356,6.217329999998356,38.0,0.0588286232656597,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,7,7.000280999998647,6.658661000003008,7.262002999993911,109.0,0.1764858697969791,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,9.090064000005782,9.090064000005782,9.090064000005782,9.090064000005782,543.0,0.0588286232656597,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,7.97697099999084,7.97697099999084,7.97697099999084,7.97697099999084,38.0,0.0588286232656597,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,7,7.198910999998513,6.095588999997403,8.267990999996755,111.0,0.1764858697969791,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,8.075363000003222,8.075363000003222,8.075363000003222,8.075363000003222,767.0,0.0588286232656597,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,6.37268100000199,6.37268100000199,6.37268100000199,6.37268100000199,38.0,0.0588286232656597,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,7,6.555683333331785,5.593782999994801,7.563822999998138,109.0,0.1764858697969791,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,7.0432400000015605,7.0432400000015605,7.0432400000015605,7.0432400000015605,542.0,0.0588286232656597,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,8.478331999995703,8.478331999995703,8.478331999995703,8.478331999995703,38.0,0.0588286232656597,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,7,6.650213000005086,5.432648999999401,7.777153000006365,110.0,0.1764858697969791,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,5.9805730000022095,5.9805730000022095,5.9805730000022095,5.9805730000022095,541.0,0.0588286232656597,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,7.4519819999920855,7.4519819999920855,7.4519819999920855,7.4519819999920855,38.0,0.0588286232656597,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,7,7.712664333330584,6.8922130000004245,8.996033999991937,109.0,0.1764858697969791,0.0,7,7,9,9,9,9,9,9,9,9,9
