Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758181895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758181896,1,,Aggregated,0.000000,0.000000,17,39,89,100,170,220,240,250,250,250,250,108,2,17,54.812446212961966,5.559375000004252,247.16016200000013,94560.74074074074
1758181897,1,,Aggregated,0.000000,0.000000,13,17,22,28,89,170,220,240,330,330,330,357,2,13,31.12198190196018,5.520348999993985,325.05765199999814,202699.0
1758181898,1,,Aggregated,70.000000,1.000000,8,9,13,16,34,86,170,210,330,330,330,893,5,8,18.67271030459111,5.381861999993021,325.05765199999814,82399.90929451288
1758181899,1,,Aggregated,164.500000,1.000000,8,11,13,16,29,59,130,170,250,330,330,1257,5,8,17.274096971360247,5.360719999998764,325.05765199999814,86969.84407319014
1758181900,1,,Aggregated,259.333333,1.666667,8,11,14,16,34,77,140,170,330,2800,2800,1472,5,8,20.263837718749954,5.360719999998764,2806.198665000011,90883.83695652174
1758181901,1,,Aggregated,298.750000,1.250000,9,12,16,21,55,89,140,170,330,2800,2800,1569,5,9,22.935151680688318,5.360719999998764,2806.198665000011,97444.80560866794
1758181902,1,,Aggregated,287.600000,1.000000,9,14,21,31,66,93,140,170,330,2800,2800,1677,5,9,25.341311372689308,5.360719999998764,2806.198665000011,105125.47644603459
1758181903,1,,Aggregated,258.833333,0.833333,10,16,26,37,67,93,140,170,330,2800,2800,1844,7,10,26.371546027114956,5.360719999998764,2806.198665000011,108566.88069414317
1758181904,1,,Aggregated,235.714286,0.714286,11,16,24,34,62,89,130,160,250,2800,2800,2168,7,11,25.21979250830265,5.360719999998764,2806.198665000011,117845.21079335794
1758181905,1,,Aggregated,221.375000,0.625000,12,17,26,35,62,88,130,160,250,2800,2800,2378,7,12,25.600794524390352,5.360719999998764,2806.198665000011,120655.60344827586
1758181906,1,,Aggregated,230.888889,0.777778,13,18,27,36,61,85,130,150,250,2800,2800,2608,7,13,25.740476294478682,5.360719999998764,2806.198665000011,122727.5111196319
1758181907,1,,Aggregated,231.200000,0.700000,13,19,29,38,62,87,130,150,250,2800,2800,2756,7,13,26.446435204281673,5.360719999998764,2806.198665000011,122897.35595065312
1758181908,1,,Aggregated,243.000000,0.600000,13,20,31,40,65,93,130,160,360,2800,2800,2859,7,13,27.780076922000767,5.360719999998764,2806.198665000011,122957.13711087793
1758181909,1,,Aggregated,239.200000,0.500000,14,22,34,43,66,93,130,160,360,2800,2800,2980,7,14,28.63170205436247,5.360719999998764,2806.198665000011,123858.7755033557
1758181910,1,,Aggregated,202.900000,0.200000,13,21,32,42,66,95,140,170,360,2800,2800,3228,8,13,28.497411005266454,5.360719999998764,2806.198665000011,117717.0250929368
1758181911,1,,Aggregated,172.700000,0.200000,13,20,31,40,65,94,140,180,360,2800,2800,3526,8,13,27.8193159500851,5.360719999998764,2806.198665000011,110987.11798071468
1758181912,1,,Aggregated,160.200000,0.200000,13,20,31,40,66,95,140,190,410,2800,2800,3535,8,13,28.438250150212188,5.360719999998764,2806.198665000011,110707.70410183875
1758181913,1,,Aggregated,160.200000,0.200000,13,20,31,40,66,95,140,190,410,2800,2800,3535,8,13,28.438250150212188,5.360719999998764,2806.198665000011,110707.70410183875
1758181914,1,,Aggregated,160.200000,0.200000,13,20,31,40,66,95,140,190,410,2800,2800,3535,8,13,28.438250150212188,5.360719999998764,2806.198665000011,110707.70410183875
1758181915,1,,Aggregated,160.200000,0.200000,13,20,31,40,66,95,140,190,410,2800,2800,3535,8,13,28.438250150212188,5.360719999998764,2806.198665000011,110707.70410183875
