Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/matomo.js,1,0,1240.8807710000076,1240.8807710000076,1240.8807710000076,1240.8807710000076,65842.0,0.013478944833610501,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/matomo.php?action_name=Siibra%20Explorer&idsite=12&rec=1&r=508512&h=15&m=3&s=15&url=https%3A%2F%2Fatlases.ebrains.eu%2Fviewer%2F&_id=aca0dfc394719139&_idn=0&send_image=0&_refts=1756818195&_ref=https%3A%2F%2Fvoluba-staging.apps.hbp.eu%2F&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1707x1067&pv_id=wPYgUL&pf_net=0&pf_srv=38&pf_tfr=0&pf_dm1=1786&uadata=%7B%7D,1,0,872.4895120000014,872.4895120000014,872.4895120000014,872.4895120000014,0.0,0.013478944833610501,0.0,870,870,870,870,870,870,870,870,870,870,870
GET,/pli-bigbrain/masked/precomputed/info,1,0,913.7190330000067,913.7190330000067,913.7190330000067,913.7190330000067,985.0,0.013478944833610501,0.0,910,910,910,910,910,910,910,910,910,910,910
GET,/pli-bigbrain/masked/precomputed/transform.json,1,0,1017.5725779999993,1017.5725779999993,1017.5725779999993,1017.5725779999993,227.0,0.013478944833610501,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,97.84631700000546,97.84631700000546,97.84631700000546,97.84631700000546,766.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,101.13481800000557,101.13481800000557,101.13481800000557,101.13481800000557,38.0,0.013478944833610501,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,97,97.39187299999703,96.46087900000566,98.67454799999109,110.0,0.040436834500831506,0.0,97,97,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,99.54669100000046,99.54669100000046,99.54669100000046,99.54669100000046,767.0,0.013478944833610501,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,100.31118700000263,100.31118700000263,100.31118700000263,100.31118700000263,38.0,0.013478944833610501,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,97,97.51658666666667,96.77910099999565,98.59251700000016,109.0,0.040436834500831506,0.0,97,97,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,98.11899700000026,98.11899700000026,98.11899700000026,98.11899700000026,543.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,97.39083099999846,97.39083099999846,97.39083099999846,97.39083099999846,38.0,0.013478944833610501,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,98,97.67910333332945,96.39551899999788,98.68343699999116,111.0,0.040436834500831506,0.0,98,98,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,96.21884300000261,96.21884300000261,96.21884300000261,96.21884300000261,767.0,0.013478944833610501,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,98.824876000009,98.824876000009,98.824876000009,98.824876000009,38.0,0.013478944833610501,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,98,98.19054533333353,96.90073000000154,99.21067899999514,109.0,0.040436834500831506,0.0,98,98,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,98.07708700000717,98.07708700000717,98.07708700000717,98.07708700000717,542.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,98.84877300000028,98.84877300000028,98.84877300000028,98.84877300000028,38.0,0.013478944833610501,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,98,97.87943566666968,96.32668900000851,98.99192100000676,110.0,0.040436834500831506,0.0,98,98,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,99.1830100000044,99.1830100000044,99.1830100000044,99.1830100000044,541.0,0.013478944833610501,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,96.40901000000213,96.40901000000213,96.40901000000213,96.40901000000213,38.0,0.013478944833610501,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,98,97.9914329999995,96.42546999999979,99.7686329999965,109.0,0.040436834500831506,0.0,98,98,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/0-64_64-78_0-60,1,0,96.49464500000704,96.49464500000704,96.49464500000704,96.49464500000704,1680.0,0.013478944833610501,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/80um/64-96_64-78_0-60,1,0,97.46464299999502,97.46464299999502,97.46464299999502,97.46464299999502,1040.0,0.013478944833610501,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,98.24613700000384,98.24613700000384,98.24613700000384,98.24613700000384,768.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,99.17852600000288,99.17852600000288,99.17852600000288,99.17852600000288,38.0,0.013478944833610501,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,99.84562900000071,99.46788133333466,98.91656599999976,99.84562900000071,111.0,0.040436834500831506,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,99.22567999998932,99.22567999998932,99.22567999998932,99.22567999998932,768.0,0.013478944833610501,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,96.1913099999947,96.1913099999947,96.1913099999947,96.1913099999947,38.0,0.013478944833610501,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,99,98.83032499999445,97.33894999999393,100.17376999999783,109.0,0.040436834500831506,0.0,99,99,100,100,100,100,100,100,100,100,100
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,98.26831799999525,98.26831799999525,98.26831799999525,98.26831799999525,768.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/mesh/info,1,0,98.49021099999788,98.49021099999788,98.49021099999788,98.49021099999788,38.0,0.013478944833610501,0.0,98,98,98,98,98,98,98,98,98,98,98
