Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758182074,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758182075,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758182076,1,,Aggregated,0.000000,0.000000,1400,1400,1400,1400,1500,1700,1700,1700,1700,1700,1700,11,0,1400.0,912.4615229090913,165.68160699999623,1650.2537209999987,18775.454545454544
1758182077,1,,Aggregated,0.000000,0.000000,170,820,980,1400,1400,1500,1700,1700,1700,1700,1700,29,1,170.0,602.2841768620683,164.16096999999752,1650.2537209999987,181904.24137931035
1758182078,1,,Aggregated,4.500000,0.000000,330,660,980,1300,1400,1500,1700,1700,1700,1700,1700,39,1,330.0,582.6368853333321,164.16096999999752,1650.2537209999987,173542.71794871794
1758182079,1,,Aggregated,6.666667,0.000000,170,490,660,820,1400,1400,1500,1700,1700,1700,1700,65,1,170.0,465.71155216923063,164.16096999999752,1650.2537209999987,127026.10769230769
1758182080,1,,Aggregated,9.250000,0.250000,170,500,690,760,1200,1400,1500,1700,1700,1700,1700,81,1,170.0,448.73940820987644,162.87977400000386,1650.2537209999987,105772.38271604938
1758182081,1,,Aggregated,10.800000,0.200000,170,180,530,660,980,1400,1500,1500,1700,1700,1700,107,2,170.0,385.8718851121499,162.78199299999585,1650.2537209999987,92628.02803738318
1758182082,1,,Aggregated,12.000000,0.166667,170,170,490,610,820,1400,1500,1500,1700,1700,1700,128,2,170.0,367.3964318984378,162.78199299999585,1650.2537209999987,132239.625
1758182083,1,,Aggregated,14.428571,0.285714,170,170,350,550,820,1300,1400,1500,1700,1700,1700,155,2,170.0,347.0548987548392,162.78199299999585,1650.2537209999987,191071.91612903227
1758182084,1,,Aggregated,15.250000,0.250000,170,170,330,490,810,980,1400,1500,1700,1700,1700,188,2,170.0,321.31636375531946,162.5788340000014,1650.2537209999987,234993.3670212766
1758182085,1,,Aggregated,16.222222,0.222222,170,170,330,340,760,980,1400,1500,1700,1700,1700,216,2,170.0,306.13208787037075,162.5788340000014,1650.2537209999987,219851.27314814815
1758182086,1,,Aggregated,17.600000,0.200000,170,170,180,330,700,820,1400,1500,1700,1700,1700,250,2,170.0,289.1418008560002,162.5788340000014,1650.2537209999987,215347.352
1758182087,1,,Aggregated,20.700000,0.200000,170,170,180,330,670,820,1400,1500,1700,1700,1700,266,2,170.0,287.96298444736857,162.5788340000014,1650.2537209999987,209848.6954887218
1758182088,1,,Aggregated,23.000000,0.200000,170,170,180,330,660,820,1400,1500,1700,1700,1700,294,2,170.0,285.80574862585024,162.5788340000014,1650.2537209999987,211996.90476190476
1758182089,1,,Aggregated,23.900000,0.200000,170,170,170,280,650,820,1400,1400,1700,1700,1700,327,2,170.0,276.2281013944953,162.5788340000014,1650.2537209999987,208609.62079510704
1758182090,1,,Aggregated,24.700000,0.100000,170,170,170,330,650,820,1400,1400,1700,1700,1700,350,4,170.0,274.1246013542856,162.5788340000014,1650.2537209999987,206374.1542857143
1758182091,1,,Aggregated,26.100000,0.100000,170,170,170,280,600,820,1300,1400,1700,1700,1700,383,4,170.0,266.311563832898,162.5788340000014,1650.2537209999987,189524.70496083552
1758182092,1,,Aggregated,27.100000,0.100000,170,170,170,180,530,810,1300,1400,1700,1700,1700,418,5,170.0,260.09247091148313,162.49837499999842,1650.2537209999987,174840.47368421053
1758182093,1,,Aggregated,27.300000,0.200000,170,170,170,170,500,800,1200,1400,1700,1700,1700,455,5,170.0,252.2318341362637,162.46587999999917,1650.2537209999987,160631.6
1758182094,1,,Aggregated,28.200000,0.300000,160,170,170,170,490,760,1200,1400,1700,1700,1700,491,5,162.46587999999917,245.75159529124227,162.46587999999917,1650.2537209999987,148862.16904276985
1758182095,1,,Aggregated,29.500000,0.300000,160,170,170,170,490,730,990,1400,1700,1700,1700,530,5,162.46587999999917,239.70943807735847,162.46587999999917,1650.2537209999987,137916.18867924527
1758182096,1,,Aggregated,30.100000,0.300000,160,170,170,170,450,710,980,1400,1700,1700,1700,567,5,162.46587999999917,234.73683917813054,162.46587999999917,1650.2537209999987,128923.53791887125
1758182097,1,,Aggregated,30.700000,0.300000,160,170,170,170,340,690,980,1400,1700,1700,1700,603,5,162.46587999999917,230.54896917910457,162.46587999999917,1650.2537209999987,121233.18739635158
1758182098,1,,Aggregated,31.200000,0.300000,160,170,170,170,330,670,980,1400,1700,1700,1700,639,5,162.46587999999917,226.82344566979663,162.46587999999917,1650.2537209999987,114409.32707355243
1758182099,1,,Aggregated,32.800000,0.300000,160,170,170,170,330,660,860,1400,1700,1700,1700,677,5,162.46587999999917,223.30612563515507,162.46587999999917,1650.2537209999987,107993.68094534712
1758182100,1,,Aggregated,33.900000,0.300000,160,170,170,170,330,650,820,1300,1700,1700,1700,713,5,162.46587999999917,220.31909846423557,162.46587999999917,1650.2537209999987,102546.5525946704
1758182101,1,,Aggregated,34.400000,0.300000,160,170,170,170,330,660,820,1300,1700,1700,1700,731,5,162.46587999999917,221.37760139534882,162.46587999999917,1650.2537209999987,100024.146374829
1758182102,1,,Aggregated,35.200000,0.300000,160,170,170,170,330,660,820,1300,1700,1700,1700,768,5,162.45948999998916,220.76262892708326,162.45948999998916,1650.2537209999987,95227.86197916667
1758182103,1,,Aggregated,35.100000,0.100000,160,170,170,170,280,660,820,1300,1700,1700,1700,804,5,162.45948999998916,218.21356323631835,162.45948999998916,1650.2537209999987,91005.52985074627
1758182104,1,,Aggregated,34.600000,0.000000,160,160,170,170,280,650,820,1300,1700,1700,1700,840,5,162.45948999998916,215.87982770952385,162.45948999998916,1650.2537209999987,87143.4488095238
1758182105,1,,Aggregated,34.500000,0.000000,160,160,170,170,230,610,820,1300,1700,1700,1700,875,5,162.45948999998916,213.78729396800003,162.45948999998916,1650.2537209999987,83696.856
1758182106,1,,Aggregated,34.500000,0.000000,160,160,170,170,200,610,820,1200,1700,1700,1700,907,5,162.45948999998916,213.47354810033073,162.45948999998916,1650.2537209999987,81337.79492833518
1758182107,1,,Aggregated,34.400000,0.000000,160,160,170,170,230,600,820,1200,1700,1700,1700,932,5,162.45948999998916,213.01577812339045,162.45948999998916,1650.2537209999987,79942.74463519313
1758182108,1,,Aggregated,33.600000,0.000000,160,160,170,170,280,600,820,1200,1700,1700,1700,964,5,162.45948999998916,213.41641827282137,162.45948999998916,1650.2537209999987,82748.93153526972
1758182109,1,,Aggregated,33.600000,0.000000,160,160,170,170,240,530,820,990,1500,1700,1700,1001,5,162.45948999998916,211.5848679820178,162.45948999998916,1650.2537209999987,79691.68431568431
1758182110,1,,Aggregated,32.200000,0.000000,160,160,170,170,200,500,820,990,1500,1700,1700,1037,5,162.45948999998916,209.94179577724188,162.45948999998916,1650.2537209999987,77866.78302796528
1758182111,1,,Aggregated,32.100000,0.000000,160,160,170,170,190,500,820,990,1500,1700,1700,1071,5,162.45948999998916,208.9703612614378,162.45948999998916,1650.2537209999987,81403.31465919701
1758182112,1,,Aggregated,32.200000,0.000000,160,160,170,170,180,490,810,980,1500,1700,1700,1108,5,162.45948999998916,207.54482585740064,162.45948999998916,1650.2537209999987,82371.52166064981
1758182113,1,,Aggregated,32.500000,0.000000,160,160,170,170,180,490,810,980,1500,1700,1700,1146,5,162.45948999998916,206.16336888132625,162.45948999998916,1650.2537209999987,80906.58464223385
1758182114,1,,Aggregated,33.600000,0.000000,160,160,170,170,180,490,810,980,1500,1700,1700,1181,5,162.45948999998916,205.04477485690097,162.45948999998916,1650.2537209999987,83458.55207451312
1758182115,1,,Aggregated,33.700000,0.000000,160,170,170,170,180,490,800,980,1500,1700,1700,1215,5,162.45948999998916,204.2206192995885,162.45948999998916,1650.2537209999987,86336.09053497942
1758182116,1,,Aggregated,33.800000,0.000000,160,170,170,170,180,490,780,980,1500,1700,1700,1252,5,162.45948999998916,203.14849964536742,162.45948999998916,1650.2537209999987,86628.8730031949
1758182117,1,,Aggregated,33.300000,0.000000,160,170,170,170,180,490,780,980,1500,1700,1700,1286,5,162.45948999998916,202.7697219074651,162.45948999998916,1650.2537209999987,88532.6430793157
1758182118,1,,Aggregated,34.000000,0.000000,160,170,170,170,180,490,760,860,1500,1700,1700,1310,5,162.45948999998916,202.73089776488558,162.45948999998916,1650.2537209999987,97835.4496183206
1758182119,1,,Aggregated,33.800000,0.000000,160,170,170,170,180,490,800,980,1500,1700,1700,1328,5,162.45948999998916,203.6094562379519,162.45948999998916,1650.2537209999987,97195.67093373495
1758182120,1,,Aggregated,34.800000,0.000000,160,170,170,170,190,490,810,1000,1500,1700,1700,1346,5,162.45948999998916,206.35840629123334,162.45948999998916,1650.2537209999987,96549.76820208023
1758182121,1,,Aggregated,33.400000,0.000000,160,170,170,170,190,500,810,1000,1500,1700,1700,1370,5,162.45948999998916,208.14386675547453,162.45948999998916,1650.2537209999987,95595.82335766424
