Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,1239.6178970000024,1285.4561259999998,1239.6178970000024,1331.2943549999973,3488.0,0.6254084095081431,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/v3_0/feature/_types,1,0,166.75111500001094,166.75111500001094,166.75111500001094,166.75111500001094,8002.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,186.84485299999665,186.84485299999665,186.84485299999665,186.84485299999665,67.0,0.31270420475407157,0.31270420475407157,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,186.1383979999971,186.1383979999971,186.1383979999971,186.1383979999971,67.0,0.31270420475407157,0.31270420475407157,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,171.24381200000016,171.24381200000016,171.24381200000016,171.24381200000016,50044.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,164.56912499999987,164.56912499999987,164.56912499999987,164.56912499999987,1349.0,0.31270420475407157,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,165.5654179999999,165.5654179999999,165.5654179999999,165.5654179999999,1289.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,166.9749029999963,166.9749029999963,166.9749029999963,166.9749029999963,7333.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,166.8360479999933,166.8360479999933,166.8360479999933,166.8360479999933,5417.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,171.11828299999843,171.11828299999843,171.11828299999843,171.11828299999843,3808.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,164.84024899999383,164.84024899999383,164.84024899999383,164.84024899999383,6084.0,0.31270420475407157,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,165.90819900000042,165.90819900000042,165.90819900000042,165.90819900000042,7673.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,487.4928249999897,487.4928249999897,487.4928249999897,487.4928249999897,80016.0,0.31270420475407157,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,326.8443969999879,326.8443969999879,326.8443969999879,326.8443969999879,137262.0,0.31270420475407157,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,165.69144000000335,165.69144000000335,165.69144000000335,165.69144000000335,35323.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,326.35810700000434,326.35810700000434,326.35810700000434,326.35810700000434,69432.0,0.31270420475407157,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,165.84776899999554,165.84776899999554,165.84776899999554,165.84776899999554,19068.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,488.02749300000414,488.02749300000414,488.02749300000414,488.02749300000414,88830.0,0.31270420475407157,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,814.8376909999939,814.8376909999939,814.8376909999939,814.8376909999939,290748.0,0.31270420475407157,0.0,810,810,810,810,810,810,810,810,810,810,810
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,650.7733300000069,650.7733300000069,650.7733300000069,650.7733300000069,142801.0,0.31270420475407157,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,654.6428460000016,654.6428460000016,654.6428460000016,654.6428460000016,184750.0,0.31270420475407157,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,1,0,165.50253700000894,165.50253700000894,165.50253700000894,165.50253700000894,10610.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,166.47162900000012,166.47162900000012,166.47162900000012,166.47162900000012,42337.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,1,0,167.41299099999196,167.41299099999196,167.41299099999196,167.41299099999196,43222.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,1,0,164.72572700000399,164.72572700000399,164.72572700000399,164.72572700000399,9235.0,0.31270420475407157,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,1,0,165.03908200000694,165.03908200000694,165.03908200000694,165.03908200000694,55.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,1,0,165.91040100000498,165.91040100000498,165.91040100000498,165.91040100000498,42452.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,1,0,167.08470500000772,167.08470500000772,167.08470500000772,167.08470500000772,42663.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,1,0,168.27100599999767,168.27100599999767,168.27100599999767,168.27100599999767,43023.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,1,0,165.28364699999543,165.28364699999543,165.28364699999543,165.28364699999543,42794.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,1,0,166.16036999998585,166.16036999998585,166.16036999998585,166.16036999998585,42806.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,1,0,166.08613500000047,166.08613500000047,166.08613500000047,166.08613500000047,42683.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,1,0,166.62203100000283,166.62203100000283,166.62203100000283,166.62203100000283,42642.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,1,0,167.93381799999452,167.93381799999452,167.93381799999452,167.93381799999452,42785.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,166.51298899999745,166.51298899999745,166.51298899999745,166.51298899999745,43020.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=10,1,0,169.44449799999006,169.44449799999006,169.44449799999006,169.44449799999006,42419.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=11,1,0,165.99064599999735,165.99064599999735,165.99064599999735,165.99064599999735,42680.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=12,1,0,167.20769399999824,167.20769399999824,167.20769399999824,167.20769399999824,44140.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=13,1,0,165.90868999999486,165.90868999999486,165.90868999999486,165.90868999999486,43725.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=14,1,0,167.1965870000065,167.1965870000065,167.1965870000065,167.1965870000065,43273.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=15,1,0,167.18831899999032,167.18831899999032,167.18831899999032,167.18831899999032,44758.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=16,1,0,165.25282399999242,165.25282399999242,165.25282399999242,165.25282399999242,18952.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=2,1,0,166.5775009999919,166.5775009999919,166.5775009999919,166.5775009999919,42319.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=3,1,0,165.98780300000726,165.98780300000726,165.98780300000726,165.98780300000726,42374.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=4,1,0,166.3082879999962,166.3082879999962,166.3082879999962,166.3082879999962,42641.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=5,1,0,165.79393000000664,165.79393000000664,165.79393000000664,165.79393000000664,42794.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=6,1,0,167.47875200000806,167.47875200000806,167.47875200000806,167.47875200000806,42904.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=7,1,0,165.5596890000055,165.5596890000055,165.5596890000055,165.5596890000055,42438.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=8,1,0,164.7362580000049,164.7362580000049,164.7362580000049,164.7362580000049,42433.0,0.31270420475407157,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=9,1,0,165.7848800000039,165.7848800000039,165.7848800000039,165.7848800000039,42559.0,0.31270420475407157,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/7f39f7be-445b-47c0-9791-e971c0b6d992,1,0,1273.5991809999946,1273.5991809999946,1273.5991809999946,1273.5991809999946,3357.0,0.31270420475407157,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,0,1354.3450949999992,1354.3450949999992,1354.3450949999992,1354.3450949999992,2525.0,0.31270420475407157,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,1381.588480000005,1381.588480000005,1381.588480000005,1381.588480000005,3607.0,0.31270420475407157,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
