Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,980.0,1019.9892544999968,976.784582999997,1063.1939259999967,3488.0,0.9072558225152072,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/v3_0/feature/_types,1,0,98.63262799999006,98.63262799999006,98.63262799999006,98.63262799999006,8002.0,0.4536279112576036,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,127.13551299999892,127.13551299999892,127.13551299999892,127.13551299999892,67.0,0.4536279112576036,0.4536279112576036,130,130,130,130,130,130,130,130,130,130,130
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,123.7926280000039,123.7926280000039,123.7926280000039,123.7926280000039,67.0,0.4536279112576036,0.4536279112576036,120,120,120,120,120,120,120,120,120,120,120
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,103.4217889999951,103.4217889999951,103.4217889999951,103.4217889999951,50044.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,102.27492600000687,102.27492600000687,102.27492600000687,102.27492600000687,1349.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,102.59819899999911,102.59819899999911,102.59819899999911,102.59819899999911,1289.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,104.95361899999978,104.95361899999978,104.95361899999978,104.95361899999978,7333.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,164.42637900000534,164.42637900000534,164.42637900000534,164.42637900000534,5417.0,0.4536279112576036,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,101.36009100000365,101.36009100000365,101.36009100000365,101.36009100000365,3808.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,102.50872900000729,102.50872900000729,102.50872900000729,102.50872900000729,6084.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,161.9708590000073,161.9708590000073,161.9708590000073,161.9708590000073,7673.0,0.4536279112576036,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,299.2678290000015,299.2678290000015,299.2678290000015,299.2678290000015,80016.0,0.4536279112576036,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,197.44844100000591,197.44844100000591,197.44844100000591,197.44844100000591,137262.0,0.4536279112576036,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,104.14145900000449,104.14145900000449,104.14145900000449,104.14145900000449,35323.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,287.56110499999465,287.56110499999465,287.56110499999465,287.56110499999465,69432.0,0.4536279112576036,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,102.76019100000156,102.76019100000156,102.76019100000156,102.76019100000156,19068.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,298.30946799999936,298.30946799999936,298.30946799999936,298.30946799999936,88830.0,0.4536279112576036,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,495.9706209999979,495.9706209999979,495.9706209999979,495.9706209999979,290748.0,0.4536279112576036,0.0,500,500,500,500,500,500,500,500,500,500,500
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,401.0899350000017,401.0899350000017,401.0899350000017,401.0899350000017,142801.0,0.4536279112576036,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,410.59785299999874,410.59785299999874,410.59785299999874,410.59785299999874,184750.0,0.4536279112576036,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,1,0,99.19119799999976,99.19119799999976,99.19119799999976,99.19119799999976,10610.0,0.4536279112576036,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,105.27200199999243,105.27200199999243,105.27200199999243,105.27200199999243,42337.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,1,0,103.32597900000451,103.32597900000451,103.32597900000451,103.32597900000451,43222.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,1,0,100.2786800000024,100.2786800000024,100.2786800000024,100.2786800000024,9235.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,1,0,106.37991599999452,106.37991599999452,106.37991599999452,106.37991599999452,55.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,1,0,102.51394499999833,102.51394499999833,102.51394499999833,102.51394499999833,42452.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,1,0,100.26080800000159,100.26080800000159,100.26080800000159,100.26080800000159,42663.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,1,0,103.61171199998864,103.61171199998864,103.61171199998864,103.61171199998864,43023.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,1,0,105.1541299999883,105.1541299999883,105.1541299999883,105.1541299999883,42794.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,1,0,100.84233700000311,100.84233700000311,100.84233700000311,100.84233700000311,42806.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,1,0,108.03835699999809,108.03835699999809,108.03835699999809,108.03835699999809,42683.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,1,0,101.7854079999978,101.7854079999978,101.7854079999978,101.7854079999978,42642.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,1,0,99.54557000000364,99.54557000000364,99.54557000000364,99.54557000000364,42785.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,107.07212399999833,107.07212399999833,107.07212399999833,107.07212399999833,43020.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=10,1,0,107.596620999999,107.596620999999,107.596620999999,107.596620999999,42419.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=11,1,0,107.93290500001262,107.93290500001262,107.93290500001262,107.93290500001262,42680.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=12,1,0,107.44667699999866,107.44667699999866,107.44667699999866,107.44667699999866,44140.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=13,1,0,103.71280100000035,103.71280100000035,103.71280100000035,103.71280100000035,43725.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=14,1,0,100.75780600000428,100.75780600000428,100.75780600000428,100.75780600000428,43273.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=15,1,0,102.5460279999919,102.5460279999919,102.5460279999919,102.5460279999919,44758.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=16,1,0,105.32684300000028,105.32684300000028,105.32684300000028,105.32684300000028,18952.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=2,1,0,99.28793799998914,99.28793799998914,99.28793799998914,99.28793799998914,42319.0,0.4536279112576036,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=3,1,0,106.32920499999443,106.32920499999443,106.32920499999443,106.32920499999443,42374.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=4,1,0,106.19294400000001,106.19294400000001,106.19294400000001,106.19294400000001,42641.0,0.4536279112576036,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=5,1,0,101.34759400000348,101.34759400000348,101.34759400000348,101.34759400000348,42794.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=6,1,0,99.18372700001044,99.18372700001044,99.18372700001044,99.18372700001044,42904.0,0.4536279112576036,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=7,1,0,102.60684000000708,102.60684000000708,102.60684000000708,102.60684000000708,42438.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=8,1,0,103.03340399998717,103.03340399998717,103.03340399998717,103.03340399998717,42433.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=9,1,0,101.16933000000472,101.16933000000472,101.16933000000472,101.16933000000472,42559.0,0.4536279112576036,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/7f39f7be-445b-47c0-9791-e971c0b6d992,1,0,964.9523130000119,964.9523130000119,964.9523130000119,964.9523130000119,3357.0,0.4536279112576036,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,0,999.9616770000017,999.9616770000017,999.9616770000017,999.9616770000017,2525.0,0.4536279112576036,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,1031.430080000007,1031.430080000007,1031.430080000007,1031.430080000007,3607.0,0.4536279112576036,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/tmp-fsaverage,1,0,958.054785999991,958.054785999991,958.054785999991,958.054785999991,3664.0,0.4536279112576036,0.0,960,960,960,960,960,960,960,960,960,960,960
,Aggregated,55,2,110.0,234.2244082909092,98.63262799999006,1063.1939259999967,41276.87272727273,24.949535119168196,0.9072558225152072,110,110,160,300,960,1000,1000,1100,1100,1100,1100
