Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,293.6867380000052,294.44427650000193,293.6867380000052,295.20181499999865,3488.0,4.665181791537991,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/feature/_types,1,0,13.461773000003063,13.461773000003063,13.461773000003063,13.461773000003063,8002.0,2.3325908957689956,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,29.42342100000417,29.42342100000417,29.42342100000417,29.42342100000417,67.0,2.3325908957689956,2.3325908957689956,29,29,29,29,29,29,29,29,29,29,29
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,33.326090999992175,33.326090999992175,33.326090999992175,33.326090999992175,67.0,2.3325908957689956,2.3325908957689956,33,33,33,33,33,33,33,33,33,33,33
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,12.480693000000542,12.480693000000542,12.480693000000542,12.480693000000542,50044.0,2.3325908957689956,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,9.292975000008141,9.292975000008141,9.292975000008141,9.292975000008141,1349.0,2.3325908957689956,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,8.654655000000844,8.654655000000844,8.654655000000844,8.654655000000844,1289.0,2.3325908957689956,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,10.686489000008237,10.686489000008237,10.686489000008237,10.686489000008237,7333.0,2.3325908957689956,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,8.60782300000551,8.60782300000551,8.60782300000551,8.60782300000551,5417.0,2.3325908957689956,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,10.038287000000423,10.038287000000423,10.038287000000423,10.038287000000423,3808.0,2.3325908957689956,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,7.8563999999943235,7.8563999999943235,7.8563999999943235,7.8563999999943235,6084.0,2.3325908957689956,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,11.071649000001571,11.071649000001571,11.071649000001571,11.071649000001571,7673.0,2.3325908957689956,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,28.775013000000627,28.775013000000627,28.775013000000627,28.775013000000627,80016.0,2.3325908957689956,0.0,29,29,29,29,29,29,29,29,29,29,29
