Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,2798.8151039999993,2787.176232999997,2775.5373619999946,2798.8151039999993,3488.0,0.30134136401830347,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/v3_0/feature/_types,1,0,296.6904369999952,296.6904369999952,296.6904369999952,296.6904369999952,8002.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,315.99363300000505,315.99363300000505,315.99363300000505,315.99363300000505,67.0,0.15067068200915174,0.15067068200915174,320,320,320,320,320,320,320,320,320,320,320
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,411.5804279999935,411.5804279999935,411.5804279999935,411.5804279999935,67.0,0.15067068200915174,0.15067068200915174,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,299.1146709999981,299.1146709999981,299.1146709999981,299.1146709999981,50044.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,299.1158149999933,299.1158149999933,299.1158149999933,299.1158149999933,1349.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,394.37448500000016,394.37448500000016,394.37448500000016,394.37448500000016,1289.0,0.15067068200915174,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,298.66012200000114,298.66012200000114,298.66012200000114,298.66012200000114,7333.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,296.7396119999961,296.7396119999961,296.7396119999961,296.7396119999961,5417.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,410.9033839999938,410.9033839999938,410.9033839999938,410.9033839999938,3808.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,396.12308099999893,396.12308099999893,396.12308099999893,396.12308099999893,6084.0,0.15067068200915174,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,296.7492110000052,296.7492110000052,296.7492110000052,296.7492110000052,7673.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,886.4530190000011,886.4530190000011,886.4530190000011,886.4530190000011,80016.0,0.15067068200915174,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,301.4841929999932,301.4841929999932,301.4841929999932,301.4841929999932,137262.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,808.8979340000009,808.8979340000009,808.8979340000009,808.8979340000009,35323.0,0.15067068200915174,0.0,810,810,810,810,810,810,810,810,810,810,810
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,590.8207559999994,590.8207559999994,590.8207559999994,590.8207559999994,69432.0,0.15067068200915174,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,298.5548390000048,298.5548390000048,298.5548390000048,298.5548390000048,19068.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,1177.9930720000066,1177.9930720000066,1177.9930720000066,1177.9930720000066,88830.0,0.15067068200915174,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,1483.2254530000027,1483.2254530000027,1483.2254530000027,1483.2254530000027,290748.0,0.15067068200915174,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,1181.7480799999912,1181.7480799999912,1181.7480799999912,1181.7480799999912,142801.0,0.15067068200915174,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,1177.363163999999,1177.363163999999,1177.363163999999,1177.363163999999,184750.0,0.15067068200915174,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,1,0,406.660813000002,406.660813000002,406.660813000002,406.660813000002,10610.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,300.3981880000026,300.3981880000026,300.3981880000026,300.3981880000026,42337.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,1,0,298.1896669999884,298.1896669999884,298.1896669999884,298.1896669999884,43222.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,1,0,406.0779619999977,406.0779619999977,406.0779619999977,406.0779619999977,9235.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,1,0,299.1706459999932,299.1706459999932,299.1706459999932,299.1706459999932,55.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,1,0,298.9272920000019,298.9272920000019,298.9272920000019,298.9272920000019,42452.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,1,0,297.27296999999453,297.27296999999453,297.27296999999453,297.27296999999453,42663.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,1,0,298.0586609999989,298.0586609999989,298.0586609999989,298.0586609999989,43023.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,1,0,409.7135619999932,409.7135619999932,409.7135619999932,409.7135619999932,42794.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,1,0,397.3495319999927,397.3495319999927,397.3495319999927,397.3495319999927,42806.0,0.15067068200915174,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=7,1,0,300.7886350000035,300.7886350000035,300.7886350000035,300.7886350000035,42683.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=8,1,0,299.00253200000293,299.00253200000293,299.00253200000293,299.00253200000293,42642.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=9,1,0,298.0474180000101,298.0474180000101,298.0474180000101,298.0474180000101,42785.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,298.0318540000013,298.0318540000013,298.0318540000013,298.0318540000013,43020.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=10,1,0,297.32699299999865,297.32699299999865,297.32699299999865,297.32699299999865,42419.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=11,1,0,296.39808100000664,296.39808100000664,296.39808100000664,296.39808100000664,42680.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=12,1,0,407.74041799998884,407.74041799998884,407.74041799998884,407.74041799998884,44140.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=13,1,0,396.6395080000069,396.6395080000069,396.6395080000069,396.6395080000069,43725.0,0.15067068200915174,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=14,1,0,300.7129610000021,300.7129610000021,300.7129610000021,300.7129610000021,43273.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=15,1,0,301.244429999997,301.244429999997,301.244429999997,301.244429999997,44758.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=16,1,0,297.263381999997,297.263381999997,297.263381999997,297.263381999997,18952.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=2,1,0,300.41460699999334,300.41460699999334,300.41460699999334,300.41460699999334,42319.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=3,1,0,306.038596999997,306.038596999997,306.038596999997,306.038596999997,42374.0,0.15067068200915174,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=4,1,0,298.8328840000065,298.8328840000065,298.8328840000065,298.8328840000065,42641.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=5,1,0,298.61714499999437,298.61714499999437,298.61714499999437,298.61714499999437,42794.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=6,1,0,407.47383800000136,407.47383800000136,407.47383800000136,407.47383800000136,42904.0,0.15067068200915174,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=7,1,0,396.6535209999904,396.6535209999904,396.6535209999904,396.6535209999904,42438.0,0.15067068200915174,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=8,1,0,299.91718600000183,299.91718600000183,299.91718600000183,299.91718600000183,42433.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=9,1,0,299.80744600000264,299.80744600000264,299.80744600000264,299.80744600000264,42559.0,0.15067068200915174,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/7f39f7be-445b-47c0-9791-e971c0b6d992,1,0,3061.2939809999916,3061.2939809999916,3061.2939809999916,3061.2939809999916,3357.0,0.15067068200915174,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,0,3061.7025220000046,3061.7025220000046,3061.7025220000046,3061.7025220000046,2525.0,0.15067068200915174,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,2733.132187999999,2733.132187999999,2733.132187999999,2733.132187999999,3607.0,0.15067068200915174,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/v3_0/spaces/minds/core/referencespace/v1.0.0/tmp-fsaverage,1,0,2750.9839980000097,2750.9839980000097,2750.9839980000097,2750.9839980000097,3664.0,0.15067068200915174,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
,Aggregated,55,2,300.0,696.6694776909079,296.39808100000664,3061.7025220000046,41276.87272727273,8.286887510503346,0.30134136401830347,300,410,410,890,2700,2800,3100,3100,3100,3100,3100
