Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,322.98447099999805,324.9324559999991,322.98447099999805,326.88044100000013,3488.0,1.9490291921943181,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/v3_0/feature/_types,1,0,10.824170000006461,10.824170000006461,10.824170000006461,10.824170000006461,8002.0,0.9745145960971591,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,189.21222400000204,189.21222400000204,189.21222400000204,189.21222400000204,67.0,0.9745145960971591,0.9745145960971591,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,185.20533800000294,185.20533800000294,185.20533800000294,185.20533800000294,67.0,0.9745145960971591,0.9745145960971591,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,12.05809300000027,12.05809300000027,12.05809300000027,12.05809300000027,50044.0,0.9745145960971591,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,71.87994200000247,71.87994200000247,71.87994200000247,71.87994200000247,1349.0,0.9745145960971591,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,9.035524000005069,9.035524000005069,9.035524000005069,9.035524000005069,1289.0,0.9745145960971591,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,67.39379300000081,67.39379300000081,67.39379300000081,67.39379300000081,7333.0,0.9745145960971591,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,79.6978750000008,79.6978750000008,79.6978750000008,79.6978750000008,5417.0,0.9745145960971591,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,104.02676200000371,104.02676200000371,104.02676200000371,104.02676200000371,3808.0,0.9745145960971591,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,75.24382999999801,75.24382999999801,75.24382999999801,75.24382999999801,6084.0,0.9745145960971591,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,76.2715530000051,76.2715530000051,76.2715530000051,76.2715530000051,7673.0,0.9745145960971591,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,118.82928699999695,118.82928699999695,118.82928699999695,118.82928699999695,80016.0,0.9745145960971591,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,15.121485000001655,15.121485000001655,15.121485000001655,15.121485000001655,137262.0,0.9745145960971591,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,10.381449999997017,10.381449999997017,10.381449999997017,10.381449999997017,35323.0,0.9745145960971591,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,20.25998999999956,20.25998999999956,20.25998999999956,20.25998999999956,69432.0,0.9745145960971591,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,10.37677099999712,10.37677099999712,10.37677099999712,10.37677099999712,19068.0,0.9745145960971591,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,22.255198999999948,22.255198999999948,22.255198999999948,22.255198999999948,88830.0,0.9745145960971591,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,123.7506569999951,123.7506569999951,123.7506569999951,123.7506569999951,290748.0,0.9745145960971591,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,116.8068919999996,116.8068919999996,116.8068919999996,116.8068919999996,142801.0,0.9745145960971591,0.0,120,120,120,120,120,120,120,120,120,120,120
