Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,1309.8728350000074,1363.963044000002,1309.8728350000074,1418.0532529999964,3488.0,0.6028436520306338,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/v3_0/feature/_types,1,0,166.94713999999067,166.94713999999067,166.94713999999067,166.94713999999067,8002.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,188.29964200000404,188.29964200000404,188.29964200000404,188.29964200000404,67.0,0.3014218260153169,0.3014218260153169,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,189.9687330000006,189.9687330000006,189.9687330000006,189.9687330000006,67.0,0.3014218260153169,0.3014218260153169,190,190,190,190,190,190,190,190,190,190,190
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,167.55527300000495,167.55527300000495,167.55527300000495,167.55527300000495,50044.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,167.33290599999862,167.33290599999862,167.33290599999862,167.33290599999862,1349.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,176.81754499999158,176.81754499999158,176.81754499999158,176.81754499999158,1289.0,0.3014218260153169,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,166.7541130000103,166.7541130000103,166.7541130000103,166.7541130000103,7333.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,167.597078,167.597078,167.597078,167.597078,5417.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,166.315424000004,166.315424000004,166.315424000004,166.315424000004,3808.0,0.3014218260153169,0.0,170,170,170,170,170,170,170,170,170,170,170
