Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,460.0,460.14409200000017,457.94975500000135,462.338428999999,3488.0,0.6140014836561768,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/api/v3_0/feature/_types,1,0,271.32815499999197,271.32815499999197,271.32815499999197,271.32815499999197,8002.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,364.9706499999894,364.9706499999894,364.9706499999894,364.9706499999894,67.0,0.3070007418280884,0.3070007418280884,360,360,360,360,360,360,360,360,360,360,360
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,333.635086000001,333.635086000001,333.635086000001,333.635086000001,67.0,0.3070007418280884,0.3070007418280884,330,330,330,330,330,330,330,330,330,330,330
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,275.6831740000081,275.6831740000081,275.6831740000081,275.6831740000081,50044.0,0.3070007418280884,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,764.6890280000065,764.6890280000065,764.6890280000065,764.6890280000065,1349.0,0.3070007418280884,0.0,760,760,760,760,760,760,760,760,760,760,760
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,265.9604549999983,265.9604549999983,265.9604549999983,265.9604549999983,1289.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,265.184564000009,265.184564000009,265.184564000009,265.184564000009,7333.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,270.8666280000074,270.8666280000074,270.8666280000074,270.8666280000074,5417.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,288.5471839999951,288.5471839999951,288.5471839999951,288.5471839999951,3808.0,0.3070007418280884,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,268.70091300000354,268.70091300000354,268.70091300000354,268.70091300000354,6084.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,274.2508590000057,274.2508590000057,274.2508590000057,274.2508590000057,7673.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,273.80844900000056,273.80844900000056,273.80844900000056,273.80844900000056,80016.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,268.7110570000044,268.7110570000044,268.7110570000044,268.7110570000044,137262.0,0.3070007418280884,0.0,270,270,270,270,270,270,270,270,270,270,270
