Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,373.4791639999955,421.49458949999644,373.4791639999955,469.51001499999734,3488.0,1.4628931131293512,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/v3_0/feature/_types,1,0,87.51472699999852,87.51472699999852,87.51472699999852,87.51472699999852,8002.0,0.7314465565646756,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,186.51733700000506,186.51733700000506,186.51733700000506,186.51733700000506,67.0,0.7314465565646756,0.7314465565646756,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,184.35048799999976,184.35048799999976,184.35048799999976,184.35048799999976,67.0,0.7314465565646756,0.7314465565646756,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,87.10629599999464,87.10629599999464,87.10629599999464,87.10629599999464,50044.0,0.7314465565646756,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,124.28600799999856,124.28600799999856,124.28600799999856,124.28600799999856,1349.0,0.7314465565646756,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,112.75437300000135,112.75437300000135,112.75437300000135,112.75437300000135,1289.0,0.7314465565646756,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,121.28912899999733,121.28912899999733,121.28912899999733,121.28912899999733,7333.0,0.7314465565646756,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,124.40963799999594,124.40963799999594,124.40963799999594,124.40963799999594,5417.0,0.7314465565646756,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,94.58042299999647,94.58042299999647,94.58042299999647,94.58042299999647,3808.0,0.7314465565646756,0.0,95,95,95,95,95,95,95,95,95,95,95
