Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,510.0,552.5580194999975,509.2724029999971,595.8436359999979,3488.0,0.9173315416701661,0.0,600,600,600,600,600,600,600,600,600,600,600
GET,/api/v3_0/feature/_types,1,0,176.94278400000485,176.94278400000485,176.94278400000485,176.94278400000485,8002.0,0.45866577083508303,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,272.645008000012,272.645008000012,272.645008000012,272.645008000012,67.0,0.45866577083508303,0.45866577083508303,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,248.39795699999456,248.39795699999456,248.39795699999456,248.39795699999456,67.0,0.45866577083508303,0.45866577083508303,250,250,250,250,250,250,250,250,250,250,250
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,177.112527999995,177.112527999995,177.112527999995,177.112527999995,50044.0,0.45866577083508303,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,233.48645800000156,233.48645800000156,233.48645800000156,233.48645800000156,1349.0,0.45866577083508303,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,169.8298689999973,169.8298689999973,169.8298689999973,169.8298689999973,1289.0,0.45866577083508303,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,173.59119900000053,173.59119900000053,173.59119900000053,173.59119900000053,7333.0,0.45866577083508303,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,171.66650200000788,171.66650200000788,171.66650200000788,171.66650200000788,5417.0,0.45866577083508303,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,173.59600700000044,173.59600700000044,173.59600700000044,173.59600700000044,3808.0,0.45866577083508303,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,173.5026349999913,173.5026349999913,173.5026349999913,173.5026349999913,6084.0,0.45866577083508303,0.0,170,170,170,170,170,170,170,170,170,170,170
