Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,284.956434999998,287.1053804999981,284.956434999998,289.25432599999823,3488.0,3.6916604358642493,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/v3_0/feature/_types,1,0,10.643797000000177,10.643797000000177,10.643797000000177,10.643797000000177,8002.0,1.8458302179321247,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,89.35016200000234,89.35016200000234,89.35016200000234,89.35016200000234,67.0,1.8458302179321247,1.8458302179321247,89,89,89,89,89,89,89,89,89,89,89
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,107.17592099999962,107.17592099999962,107.17592099999962,107.17592099999962,67.0,1.8458302179321247,1.8458302179321247,110,110,110,110,110,110,110,110,110,110,110
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,46.10851300000007,46.10851300000007,46.10851300000007,46.10851300000007,50044.0,1.8458302179321247,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,10.99787300000088,10.99787300000088,10.99787300000088,10.99787300000088,1349.0,1.8458302179321247,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,11.737922000001788,11.737922000001788,11.737922000001788,11.737922000001788,1289.0,1.8458302179321247,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,9.461340999997958,9.461340999997958,9.461340999997958,9.461340999997958,7333.0,1.8458302179321247,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,29.221296000002894,29.221296000002894,29.221296000002894,29.221296000002894,5417.0,1.8458302179321247,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,45.02763200000004,45.02763200000004,45.02763200000004,45.02763200000004,3808.0,1.8458302179321247,0.0,45,45,45,45,45,45,45,45,45,45,45
