Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,270.070436999994,271.0790774999978,270.070436999994,272.08771800000164,3488.0,1.9757821709653145,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v3_0/feature/_types,1,0,63.857678999994505,63.857678999994505,63.857678999994505,63.857678999994505,8002.0,0.9878910854826572,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,97.28800300000273,97.28800300000273,97.28800300000273,97.28800300000273,67.0,0.9878910854826572,0.9878910854826572,97,97,97,97,97,97,97,97,97,97,97
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,86.17092700000484,86.17092700000484,86.17092700000484,86.17092700000484,67.0,0.9878910854826572,0.9878910854826572,86,86,86,86,86,86,86,86,86,86,86
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,97.52947199999795,97.52947199999795,97.52947199999795,97.52947199999795,50044.0,0.9878910854826572,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,77.84366399999954,77.84366399999954,77.84366399999954,77.84366399999954,1349.0,0.9878910854826572,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,66.42515899999779,66.42515899999779,66.42515899999779,66.42515899999779,1289.0,0.9878910854826572,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,61.55242599999866,61.55242599999866,61.55242599999866,61.55242599999866,7333.0,0.9878910854826572,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,64.28752800000126,64.28752800000126,64.28752800000126,64.28752800000126,5417.0,0.9878910854826572,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,75.36106300000256,75.36106300000256,75.36106300000256,75.36106300000256,3808.0,0.9878910854826572,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,64.61137800000216,64.61137800000216,64.61137800000216,64.61137800000216,6084.0,0.9878910854826572,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,77.77124400000446,77.77124400000446,77.77124400000446,77.77124400000446,7673.0,0.9878910854826572,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,87.07148899999595,87.07148899999595,87.07148899999595,87.07148899999595,80016.0,0.9878910854826572,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,97.94005299999498,97.94005299999498,97.94005299999498,97.94005299999498,137262.0,0.9878910854826572,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,77.99329400000232,77.99329400000232,77.99329400000232,77.99329400000232,35323.0,0.9878910854826572,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,103.54022499999616,103.54022499999616,103.54022499999616,103.54022499999616,69432.0,0.9878910854826572,0.0,100,100,100,100,100,100,100,100,100,100,100
