Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,370.3937749999966,372.8655560000007,370.3937749999966,375.3373370000048,3488.0,0.8850500579387235,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/api/v3_0/feature/_types,1,0,171.54076500000315,171.54076500000315,171.54076500000315,171.54076500000315,8002.0,0.44252502896936174,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,258.555697999995,258.555697999995,258.555697999995,258.555697999995,67.0,0.44252502896936174,0.44252502896936174,260,260,260,260,260,260,260,260,260,260,260
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,258.1771559999879,258.1771559999879,258.1771559999879,258.1771559999879,67.0,0.44252502896936174,0.44252502896936174,260,260,260,260,260,260,260,260,260,260,260
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,194.0250200000122,194.0250200000122,194.0250200000122,194.0250200000122,50044.0,0.44252502896936174,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,193.78353599999798,193.78353599999798,193.78353599999798,193.78353599999798,1349.0,0.44252502896936174,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,476.3178210000092,476.3178210000092,476.3178210000092,476.3178210000092,1289.0,0.44252502896936174,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,171.37585500000796,171.37585500000796,171.37585500000796,171.37585500000796,7333.0,0.44252502896936174,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,176.4090979999935,176.4090979999935,176.4090979999935,176.4090979999935,5417.0,0.44252502896936174,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,206.35444299999506,206.35444299999506,206.35444299999506,206.35444299999506,3808.0,0.44252502896936174,0.0,210,210,210,210,210,210,210,210,210,210,210
