Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,463.6502769999993,467.60968499999933,463.6502769999993,471.5690929999994,3488.0,1.8893682539317882,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/v3_0/feature/_types,1,0,19.40850299999397,19.40850299999397,19.40850299999397,19.40850299999397,8002.0,0.9446841269658941,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,354.43154700001855,354.43154700001855,354.43154700001855,354.43154700001855,67.0,0.9446841269658941,0.9446841269658941,350,350,350,350,350,350,350,350,350,350,350
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,355.9316609999996,355.9316609999996,355.9316609999996,355.9316609999996,67.0,0.9446841269658941,0.9446841269658941,360,360,360,360,360,360,360,360,360,360,360
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,24.98142799998959,24.98142799998959,24.98142799998959,24.98142799998959,50044.0,0.9446841269658941,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,18.891326000016306,18.891326000016306,18.891326000016306,18.891326000016306,1349.0,0.9446841269658941,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,26.470750999976644,26.470750999976644,26.470750999976644,26.470750999976644,1289.0,0.9446841269658941,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,19.933438999998998,19.933438999998998,19.933438999998998,19.933438999998998,7333.0,0.9446841269658941,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,19.041436999998496,19.041436999998496,19.041436999998496,19.041436999998496,5417.0,0.9446841269658941,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,88.23019999999815,88.23019999999815,88.23019999999815,88.23019999999815,3808.0,0.9446841269658941,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,17.31335800002398,17.31335800002398,17.31335800002398,17.31335800002398,6084.0,0.9446841269658941,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,20.781886999998278,20.781886999998278,20.781886999998278,20.781886999998278,7673.0,0.9446841269658941,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,36.729358999991746,36.729358999991746,36.729358999991746,36.729358999991746,80016.0,0.9446841269658941,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,23.132509999982176,23.132509999982176,23.132509999982176,23.132509999982176,137262.0,0.9446841269658941,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,25.508976000025996,25.508976000025996,25.508976000025996,25.508976000025996,35323.0,0.9446841269658941,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,35.13079100000027,35.13079100000027,35.13079100000027,35.13079100000027,69432.0,0.9446841269658941,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,19.351389000007657,19.351389000007657,19.351389000007657,19.351389000007657,19068.0,0.9446841269658941,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,83.4710930000142,83.4710930000142,83.4710930000142,83.4710930000142,88830.0,0.9446841269658941,0.0,83,83,83,83,83,83,83,83,83,83,83
