Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v3_0/atlases,2,0,190.22717500000397,194.8513525000024,190.22717500000397,199.47553000000084,3488.0,3.899791728652187,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/v3_0/feature/_types,1,0,12.44820600000196,12.44820600000196,12.44820600000196,12.44820600000196,8002.0,1.9498958643260935,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,188.32276499999523,188.32276499999523,188.32276499999523,188.32276499999523,67.0,1.9498958643260935,1.9498958643260935,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,190.2804549999928,190.2804549999928,190.2804549999928,190.2804549999928,67.0,1.9498958643260935,1.9498958643260935,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,14.647877000001586,14.647877000001586,14.647877000001586,14.647877000001586,50044.0,1.9498958643260935,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,13.157595999999216,13.157595999999216,13.157595999999216,13.157595999999216,1349.0,1.9498958643260935,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,11.07200600000624,11.07200600000624,11.07200600000624,11.07200600000624,1289.0,1.9498958643260935,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,16.49098800000104,16.49098800000104,16.49098800000104,16.49098800000104,7333.0,1.9498958643260935,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,18.219739000002733,18.219739000002733,18.219739000002733,18.219739000002733,5417.0,1.9498958643260935,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,26.2975730000079,26.2975730000079,26.2975730000079,26.2975730000079,3808.0,1.9498958643260935,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,12.700086999998916,12.700086999998916,12.700086999998916,12.700086999998916,6084.0,1.9498958643260935,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,15.251808000002143,15.251808000002143,15.251808000002143,15.251808000002143,7673.0,1.9498958643260935,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,16.698568000009573,16.698568000009573,16.698568000009573,16.698568000009573,80016.0,1.9498958643260935,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,21.463769999996885,21.463769999996885,21.463769999996885,21.463769999996885,137262.0,1.9498958643260935,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,20.200090000003,20.200090000003,20.200090000003,20.200090000003,35323.0,1.9498958643260935,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,16.86848800000007,16.86848800000007,16.86848800000007,16.86848800000007,69432.0,1.9498958643260935,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,18.241129000003298,18.241129000003298,18.241129000003298,18.241129000003298,19068.0,1.9498958643260935,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,32.84196600000655,32.84196600000655,32.84196600000655,32.84196600000655,88830.0,1.9498958643260935,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,35.372838000000684,35.372838000000684,35.372838000000684,35.372838000000684,290748.0,1.9498958643260935,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,15.455548000005592,15.455548000005592,15.455548000005592,15.455548000005592,142801.0,1.9498958643260935,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,32.47992600000771,32.47992600000771,32.47992600000771,32.47992600000771,184750.0,1.9498958643260935,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,1,0,20.971670999998082,20.971670999998082,20.971670999998082,20.971670999998082,10610.0,1.9498958643260935,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,17.321318000000474,17.321318000000474,17.321318000000474,17.321318000000474,42337.0,1.9498958643260935,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,1,0,14.775947000003953,14.775947000003953,14.775947000003953,14.775947000003953,43222.0,1.9498958643260935,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,1,0,15.02608799999905,15.02608799999905,15.02608799999905,15.02608799999905,9235.0,1.9498958643260935,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,1,0,14.303988000008871,14.303988000008871,14.303988000008871,14.303988000008871,55.0,1.9498958643260935,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,1,0,11.027155000007838,11.027155000007838,11.027155000007838,11.027155000007838,42452.0,1.9498958643260935,0.0,11,11,11,11,11,11,11,11,11,11,11
