Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,4700.0,4734.117183499997,4696.905661999992,4771.328705000002,3402.0,0.23153169666346102,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/v3_0/feature/_types,1,0,296.136618999995,296.136618999995,296.136618999995,296.136618999995,8002.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,317.0541679999985,317.0541679999985,317.0541679999985,317.0541679999985,67.0,0.11576584833173051,0.11576584833173051,320,320,320,320,320,320,320,320,320,320,320
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,416.4469810000071,416.4469810000071,416.4469810000071,416.4469810000071,50044.0,0.11576584833173051,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,298.7303719999943,298.7303719999943,298.7303719999943,298.7303719999943,1349.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,297.5137119999971,297.5137119999971,297.5137119999971,297.5137119999971,1290.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,297.6379419999944,297.6379419999944,297.6379419999944,297.6379419999944,7333.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,298.2661509999929,298.2661509999929,298.2661509999929,298.2661509999929,5417.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,399.0495199999913,399.0495199999913,399.0495199999913,399.0495199999913,3808.0,0.11576584833173051,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,415.28725599999916,415.28725599999916,415.28725599999916,415.28725599999916,6084.0,0.11576584833173051,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,310.43302300000164,310.43302300000164,310.43302300000164,310.43302300000164,7673.0,0.11576584833173051,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,889.0801759999931,889.0801759999931,889.0801759999931,889.0801759999931,80016.0,0.11576584833173051,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,1235.6690109999988,1235.6690109999988,1235.6690109999988,1235.6690109999988,137262.0,0.11576584833173051,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,298.0650629999957,298.0650629999957,298.0650629999957,298.0650629999957,35323.0,0.11576584833173051,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,1189.3945970000032,1189.3945970000032,1189.3945970000032,1189.3945970000032,69432.0,0.11576584833173051,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
