Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,1390.6096549999986,1381.793105499998,1372.9765559999976,1390.6096549999986,3488.0,0.6346967049840433,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/v3_0/feature/_types,1,0,160.68305999999666,160.68305999999666,160.68305999999666,160.68305999999666,8002.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,180.32677000000064,180.32677000000064,180.32677000000064,180.32677000000064,67.0,0.31734835249202165,0.31734835249202165,180,180,180,180,180,180,180,180,180,180,180
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,178.5214289999999,178.5214289999999,178.5214289999999,178.5214289999999,67.0,0.31734835249202165,0.31734835249202165,180,180,180,180,180,180,180,180,180,180,180
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,160.10619000000048,160.10619000000048,160.10619000000048,160.10619000000048,50044.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,157.62307900000394,157.62307900000394,157.62307900000394,157.62307900000394,1349.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,160.04354000000376,160.04354000000376,160.04354000000376,160.04354000000376,1289.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,161.59281100000555,161.59281100000555,161.59281100000555,161.59281100000555,7333.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,160.13068000000175,160.13068000000175,160.13068000000175,160.13068000000175,5417.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,157.8970890000022,157.8970890000022,157.8970890000022,157.8970890000022,3808.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,170.96911599999487,170.96911599999487,170.96911599999487,170.96911599999487,6084.0,0.31734835249202165,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,160.61221000000359,160.61221000000359,160.61221000000359,160.61221000000359,7673.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,468.41506399999844,468.41506399999844,468.41506399999844,468.41506399999844,80016.0,0.31734835249202165,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,313.0609270000022,313.0609270000022,313.0609270000022,313.0609270000022,137262.0,0.31734835249202165,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,158.35497900000206,158.35497900000206,158.35497900000206,158.35497900000206,35323.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,314.54183700000016,314.54183700000016,314.54183700000016,314.54183700000016,69432.0,0.31734835249202165,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,159.96539000000354,159.96539000000354,159.96539000000354,159.96539000000354,19068.0,0.31734835249202165,0.0,160,160,160,160,160,160,160,160,160,160,160
