Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,265.37511499999766,265.37511499999766,265.37511499999766,265.37511499999766,5771.0,1.5084781910507044,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,264.4569650000008,264.4569650000008,264.4569650000008,264.4569650000008,7768.0,1.5084781910507044,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,279.0111519999954,279.0111519999954,279.0111519999954,279.0111519999954,59305.0,1.5084781910507044,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,171.89746399999706,171.89746399999706,171.89746399999706,171.89746399999706,13224.0,1.5084781910507044,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,16.327146999998376,16.327146999998376,16.327146999998376,16.327146999998376,78268.0,1.5084781910507044,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,17.869138999998313,17.869138999998313,17.869138999998313,17.869138999998313,11876.0,1.5084781910507044,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,82.25954600000307,82.25954600000307,82.25954600000307,82.25954600000307,11915.0,1.5084781910507044,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/viewer/catchSyntaxError.js,1,0,8.131312999999807,8.131312999999807,8.131312999999807,8.131312999999807,410.0,1.5084781910507044,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/viewer/chunk_worker.bundle.js,2,0,170.0,174.1822254999974,166.7428820000012,181.6215689999936,301361.0,3.0169563821014087,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/viewer/extra_js.js,1,0,265.13040599999727,265.13040599999727,265.13040599999727,265.13040599999727,47.0,1.5084781910507044,0.0,270,270,270,270,270,270,270,270,270,270,270
