Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,2873.7227609999964,2873.7227609999964,2873.7227609999964,2873.7227609999964,5771.0,0.1624280812143504,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,2618.750458000008,2618.750458000008,2618.750458000008,2618.750458000008,7768.0,0.1624280812143504,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,3180.5971650000088,3180.5971650000088,3180.5971650000088,3180.5971650000088,59305.0,0.1624280812143504,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,297.4325880000066,297.4325880000066,297.4325880000066,297.4325880000066,13224.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,297.7697930000005,297.7697930000005,297.7697930000005,297.7697930000005,78268.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,296.6831080000105,296.6831080000105,296.6831080000105,296.6831080000105,11876.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,299.8702750000035,299.8702750000035,299.8702750000035,299.8702750000035,11915.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/catchSyntaxError.js,1,0,297.97306800000456,297.97306800000456,297.97306800000456,297.97306800000456,410.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/chunk_worker.bundle.js,2,0,301.89713400000073,302.41019300000005,301.89713400000073,302.92325199999937,301361.0,0.3248561624287008,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/extra_js.js,1,0,2544.6357809999968,2544.6357809999968,2544.6357809999968,2544.6357809999968,47.0,0.1624280812143504,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/viewer/icons/iav-icons.css,1,0,2570.811833999997,2570.811833999997,2570.811833999997,2570.811833999997,518.0,0.1624280812143504,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/viewer/icons/iav-icons.woff,1,0,296.6451919999997,296.6451919999997,296.6451919999997,296.6451919999997,2428.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/includeMatomo.js,1,0,412.86213499999747,412.86213499999747,412.86213499999747,412.86213499999747,843.0,0.1624280812143504,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,1179.6678280000065,1179.6678280000065,1179.6678280000065,1179.6678280000065,129703.0,0.1624280812143504,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,299.6088439999909,299.6088439999909,299.6088439999909,299.6088439999909,20575.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,296.46568799999784,296.46568799999784,296.46568799999784,296.46568799999784,2309.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,297.28649999999845,297.28649999999845,297.28649999999845,297.28649999999845,1969.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,298.7603100000058,298.7603100000058,298.7603100000058,298.7603100000058,2280.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,296.96472500000937,296.96472500000937,296.96472500000937,296.96472500000937,945.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,299.7414929999991,299.7414929999991,299.7414929999991,299.7414929999991,17882.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,299.0146869999961,299.0146869999961,299.0146869999961,299.0146869999961,180.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,1778.208675000002,1778.208675000002,1778.208675000002,1778.208675000002,761764.0,0.1624280812143504,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/viewer/main.bundle.js,1,0,1769.6694210000032,1769.6694210000032,1769.6694210000032,1769.6694210000032,1388728.0,0.1624280812143504,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/viewer/main.js,1,0,2456.811013999996,2456.811013999996,2456.811013999996,2456.811013999996,741273.0,0.1624280812143504,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/viewer/plugins/manifests,1,0,298.4349820000034,298.4349820000034,298.4349820000034,298.4349820000034,246.0,0.1624280812143504,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/runtime.js,1,0,411.7309370000015,411.7309370000015,411.7309370000015,411.7309370000015,1193.0,0.1624280812143504,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/viewer/styles.css,1,0,1758.1128520000107,1758.1128520000107,1758.1128520000107,1758.1128520000107,410961.0,0.1624280812143504,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/viewer/user,1,1,296.3735710000037,296.3735710000037,296.3735710000037,296.3735710000037,17.0,0.1624280812143504,0.1624280812143504,300,300,300,300,300,300,300,300,300,300,300
