Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,823.9313830000015,823.9313830000015,823.9313830000015,823.9313830000015,5771.0,0.38850281736754044,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,815.2192789999901,815.2192789999901,815.2192789999901,815.2192789999901,7768.0,0.38850281736754044,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,1250.7284880000213,1250.7284880000213,1250.7284880000213,1250.7284880000213,59305.0,0.38850281736754044,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,167.6937500000122,167.6937500000122,167.6937500000122,167.6937500000122,13224.0,0.38850281736754044,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,168.2974500000114,168.2974500000114,168.2974500000114,168.2974500000114,78268.0,0.38850281736754044,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,167.73304500000563,167.73304500000563,167.73304500000563,167.73304500000563,11876.0,0.38850281736754044,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,169.32617599999844,169.32617599999844,169.32617599999844,169.32617599999844,11915.0,0.38850281736754044,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/catchSyntaxError.js,1,0,162.1418010000184,162.1418010000184,162.1418010000184,162.1418010000184,410.0,0.38850281736754044,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/chunk_worker.bundle.js,2,0,170.5881379999994,171.06955349998998,170.5881379999994,171.55096899998057,301361.0,0.7770056347350809,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/extra_js.js,1,0,877.3721789999911,877.3721789999911,877.3721789999911,877.3721789999911,47.0,0.38850281736754044,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/viewer/icons/iav-icons.css,1,0,974.515451000002,974.515451000002,974.515451000002,974.515451000002,518.0,0.38850281736754044,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/viewer/icons/iav-icons.woff,1,0,164.66197100001523,164.66197100001523,164.66197100001523,164.66197100001523,2428.0,0.38850281736754044,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/includeMatomo.js,1,0,164.98085800000695,164.98085800000695,164.98085800000695,164.98085800000695,843.0,0.38850281736754044,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,661.9199719999926,661.9199719999926,661.9199719999926,661.9199719999926,129703.0,0.38850281736754044,0.0,660,660,660,660,660,660,660,660,660,660,660
