Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758002919,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758002920,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758002921,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758002922,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758002923,1,,Aggregated,0.000000,0.000000,3500,3500,3600,3600,3700,3700,3700,3700,3700,3700,3700,6,0,3300.0,2924.090763,304.8806500000012,3652.924788000007,2512.6666666666665
1758002924,1,,Aggregated,0.000000,0.000000,3200,3500,3600,3600,3700,4400,4400,4400,4400,4400,4400,11,0,3200.0,2182.703734090906,304.8806500000012,4438.294332999987,18775.454545454544
1758002925,1,,Aggregated,1.250000,0.000000,400,1500,3200,3300,3600,3700,4400,4400,4400,4400,4400,22,1,310.0,1367.430337999999,301.5979649999849,4438.294332999987,65027.36363636364
1758002926,1,,Aggregated,2.000000,0.000000,310,610,1800,3200,3500,3700,4400,4400,4400,4400,4400,34,1,310.0,1146.7362982941186,300.4578350000031,4438.294332999987,153970.9411764706
1758002927,1,,Aggregated,2.000000,0.000000,310,610,2100,2800,3500,3700,4400,4400,4400,4400,4400,36,1,310.0,1169.3091593888903,300.4578350000031,4438.294332999987,166075.36111111112
1758002928,1,,Aggregated,2.000000,0.000000,310,610,2100,2800,3500,3700,4400,4400,4400,4400,4400,36,1,310.0,1169.3091593888903,300.4578350000031,4438.294332999987,166075.36111111112
1758002929,1,,Aggregated,2.000000,0.000000,310,610,2100,2800,3500,3700,4400,4400,4400,4400,4400,36,1,310.0,1169.3091593888903,300.4578350000031,4438.294332999987,166075.36111111112
