Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,2648.3220180000017,2648.3220180000017,2648.3220180000017,2648.3220180000017,5771.0,0.16841840837989902,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,2371.862553,2371.862553,2371.862553,2371.862553,7768.0,0.16841840837989902,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,2997.0736829999964,2997.0736829999964,2997.0736829999964,2997.0736829999964,59305.0,0.16841840837989902,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,390.4928719999958,390.4928719999958,390.4928719999958,390.4928719999958,13224.0,0.16841840837989902,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,300.9514759999945,300.9514759999945,300.9514759999945,300.9514759999945,78268.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,297.2281859999981,297.2281859999981,297.2281859999981,297.2281859999981,11876.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,297.1454059999985,297.1454059999985,297.1454059999985,297.1454059999985,11915.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/catchSyntaxError.js,1,0,296.77208300000757,296.77208300000757,296.77208300000757,296.77208300000757,410.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/chunk_worker.bundle.js,2,0,301.63246299999,352.52419399999724,301.63246299999,403.41592500000445,301361.0,0.33683681675979804,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/viewer/extra_js.js,1,0,2429.335449000007,2429.335449000007,2429.335449000007,2429.335449000007,47.0,0.16841840837989902,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/viewer/icons/iav-icons.css,1,0,2681.2951120000007,2681.2951120000007,2681.2951120000007,2681.2951120000007,518.0,0.16841840837989902,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/viewer/icons/iav-icons.woff,1,0,298.35572000000354,298.35572000000354,298.35572000000354,298.35572000000354,2428.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/includeMatomo.js,1,0,297.8890589999992,297.8890589999992,297.8890589999992,297.8890589999992,843.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,1181.5065750000003,1181.5065750000003,1181.5065750000003,1181.5065750000003,129703.0,0.16841840837989902,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,298.5284850000056,298.5284850000056,298.5284850000056,298.5284850000056,20575.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,297.94263399999465,297.94263399999465,297.94263399999465,297.94263399999465,2309.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,299.67047600000285,299.67047600000285,299.67047600000285,299.67047600000285,1969.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,299.07590800000605,299.07590800000605,299.07590800000605,299.07590800000605,2280.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,298.32591299999933,298.32591299999933,298.32591299999933,298.32591299999933,945.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,299.27106299999195,299.27106299999195,299.27106299999195,299.27106299999195,17882.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,299.3739220000009,299.3739220000009,299.3739220000009,299.3739220000009,180.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,1773.859580000007,1773.859580000007,1773.859580000007,1773.859580000007,761764.0,0.16841840837989902,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/viewer/main.bundle.js,1,0,2735.448922000003,2735.448922000003,2735.448922000003,2735.448922000003,1388728.0,0.16841840837989902,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/viewer/main.js,1,0,1183.4643029999938,1183.4643029999938,1183.4643029999938,1183.4643029999938,741273.0,0.16841840837989902,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/plugins/manifests,1,0,299.2625870000012,299.2625870000012,299.2625870000012,299.2625870000012,246.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/runtime.js,1,0,297.6742700000017,297.6742700000017,297.6742700000017,297.6742700000017,1193.0,0.16841840837989902,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/styles.css,1,0,2382.1086849999915,2382.1086849999915,2382.1086849999915,2382.1086849999915,410961.0,0.16841840837989902,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/viewer/user,1,1,299.1319910000101,299.1319910000101,299.1319910000101,299.1319910000101,17.0,0.16841840837989902,0.16841840837989902,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/vendor.js,1,0,2351.4527479999997,2351.4527479999997,2351.4527479999997,2351.4527479999997,1687458.0,0.16841840837989902,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
