Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,993.8269540000135,993.8269540000135,993.8269540000135,993.8269540000135,5771.0,0.47816193010198793,0.0,990,990,990,990,990,990,990,990,990,990,990
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,1086.112619000005,1086.112619000005,1086.112619000005,1086.112619000005,7768.0,0.47816193010198793,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,1204.018130999998,1204.018130999998,1204.018130999998,1204.018130999998,59305.0,0.47816193010198793,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,101.86095699999953,101.86095699999953,101.86095699999953,101.86095699999953,13224.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,101.88352800000189,101.88352800000189,101.88352800000189,101.88352800000189,78268.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,99.01281800000561,99.01281800000561,99.01281800000561,99.01281800000561,11876.0,0.47816193010198793,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,100.43853700000227,100.43853700000227,100.43853700000227,100.43853700000227,11915.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/catchSyntaxError.js,1,0,102.04729900000586,102.04729900000586,102.04729900000586,102.04729900000586,410.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/chunk_worker.bundle.js,2,0,101.61145399999327,150.75418249999473,101.61145399999327,199.89691099999618,301361.0,0.9563238602039759,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/viewer/extra_js.js,1,0,989.3910500000089,989.3910500000089,989.3910500000089,989.3910500000089,47.0,0.47816193010198793,0.0,990,990,990,990,990,990,990,990,990,990,990
GET,/viewer/icons/iav-icons.css,1,0,1039.700669999988,1039.700669999988,1039.700669999988,1039.700669999988,518.0,0.47816193010198793,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/viewer/icons/iav-icons.woff,1,0,100.14126400000123,100.14126400000123,100.14126400000123,100.14126400000123,2428.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/includeMatomo.js,1,0,100.30624199998783,100.30624199998783,100.30624199998783,100.30624199998783,843.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,403.3744879999972,403.3744879999972,403.3744879999972,403.3744879999972,129703.0,0.47816193010198793,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,101.36984099999324,101.36984099999324,101.36984099999324,101.36984099999324,20575.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,102.92440399999236,102.92440399999236,102.92440399999236,102.92440399999236,2309.0,0.47816193010198793,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,99.44745399999988,99.44745399999988,99.44745399999988,99.44745399999988,1969.0,0.47816193010198793,0.0,99,99,99,99,99,99,99,99,99,99,99
