Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,278.43603399999495,278.43603399999495,278.43603399999495,278.43603399999495,5716.0,1.3168296781975624,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,277.3660899999868,277.3660899999868,277.3660899999868,277.3660899999868,7768.0,1.3168296781975624,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,303.7818589999972,303.7818589999972,303.7818589999972,303.7818589999972,59305.0,1.3168296781975624,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,60.75950099999261,60.75950099999261,60.75950099999261,60.75950099999261,13224.0,1.3168296781975624,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,96.24625600000059,96.24625600000059,96.24625600000059,96.24625600000059,78268.0,1.3168296781975624,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,70.1051350000057,70.1051350000057,70.1051350000057,70.1051350000057,11876.0,1.3168296781975624,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,69.10423300000446,69.10423300000446,69.10423300000446,69.10423300000446,11915.0,1.3168296781975624,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/viewer/catchSyntaxError.js,1,0,70.41854199999875,70.41854199999875,70.41854199999875,70.41854199999875,410.0,1.3168296781975624,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/viewer/chunk_worker.bundle.js,2,0,44.35057000000597,70.38405550000704,44.35057000000597,96.4175410000081,301361.0,2.6336593563951247,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/viewer/extra_js.js,1,0,271.28739799999835,271.28739799999835,271.28739799999835,271.28739799999835,47.0,1.3168296781975624,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/viewer/icons/iav-icons.css,1,0,275.512219999996,275.512219999996,275.512219999996,275.512219999996,518.0,1.3168296781975624,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/viewer/icons/iav-icons.woff,1,0,70.24908800001128,70.24908800001128,70.24908800001128,70.24908800001128,2428.0,1.3168296781975624,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/viewer/includeMatomo.js,1,0,71.33668199999477,71.33668199999477,71.33668199999477,71.33668199999477,843.0,1.3168296781975624,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,112.94488199999364,112.94488199999364,112.94488199999364,112.94488199999364,129703.0,1.3168296781975624,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,84.3206159999994,84.3206159999994,84.3206159999994,84.3206159999994,20575.0,1.3168296781975624,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,66.74715100000128,66.74715100000128,66.74715100000128,66.74715100000128,2309.0,1.3168296781975624,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,59.75089800000433,59.75089800000433,59.75089800000433,59.75089800000433,1969.0,1.3168296781975624,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,95.21469499999569,95.21469499999569,95.21469499999569,95.21469499999569,2280.0,1.3168296781975624,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,89.35056500000371,89.35056500000371,89.35056500000371,89.35056500000371,945.0,1.3168296781975624,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,104.21816199999512,104.21816199999512,104.21816199999512,104.21816199999512,17882.0,1.3168296781975624,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,68.41098799999656,68.41098799999656,68.41098799999656,68.41098799999656,180.0,1.3168296781975624,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,132.02872899999818,132.02872899999818,132.02872899999818,132.02872899999818,761764.0,1.3168296781975624,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/viewer/main.bundle.js,1,0,147.91056699999672,147.91056699999672,147.91056699999672,147.91056699999672,1388728.0,1.3168296781975624,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/viewer/main.js,1,0,122.16826499999911,122.16826499999911,122.16826499999911,122.16826499999911,725487.0,1.3168296781975624,0.0,120,120,120,120,120,120,120,120,120,120,120
