Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,290.5012200000101,290.5012200000101,290.5012200000101,290.5012200000101,5716.0,0.931313398661173,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,365.2792960000113,365.2792960000113,365.2792960000113,365.2792960000113,7768.0,0.931313398661173,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,371.8797020000011,371.8797020000011,371.8797020000011,371.8797020000011,59305.0,0.931313398661173,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,111.9635319999901,111.9635319999901,111.9635319999901,111.9635319999901,13224.0,0.931313398661173,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,105.13807499999928,105.13807499999928,105.13807499999928,105.13807499999928,78268.0,0.931313398661173,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,99.21153000000515,99.21153000000515,99.21153000000515,99.21153000000515,11876.0,0.931313398661173,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,173.62103399999285,173.62103399999285,173.62103399999285,173.62103399999285,11915.0,0.931313398661173,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/catchSyntaxError.js,1,0,105.58475600001316,105.58475600001316,105.58475600001316,105.58475600001316,410.0,0.931313398661173,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/chunk_worker.bundle.js,2,0,47.02129700000057,86.64251649999954,47.02129700000057,126.26373599999852,301361.0,1.862626797322346,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/viewer/extra_js.js,1,0,356.2418860000065,356.2418860000065,356.2418860000065,356.2418860000065,47.0,0.931313398661173,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/viewer/icons/iav-icons.css,1,0,348.7897079999982,348.7897079999982,348.7897079999982,348.7897079999982,518.0,0.931313398661173,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/viewer/icons/iav-icons.woff,1,0,107.11131700000465,107.11131700000465,107.11131700000465,107.11131700000465,2428.0,0.931313398661173,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/includeMatomo.js,1,0,271.120370999995,271.120370999995,271.120370999995,271.120370999995,843.0,0.931313398661173,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,120.29308000001038,120.29308000001038,120.29308000001038,120.29308000001038,129703.0,0.931313398661173,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,99.47640899999044,99.47640899999044,99.47640899999044,99.47640899999044,20575.0,0.931313398661173,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,107.81327799999474,107.81327799999474,107.81327799999474,107.81327799999474,2309.0,0.931313398661173,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,100.93562100000497,100.93562100000497,100.93562100000497,100.93562100000497,1969.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,104.97303500000044,104.97303500000044,104.97303500000044,104.97303500000044,2280.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,99.97918999999911,99.97918999999911,99.97918999999911,99.97918999999911,945.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,103.27169299999639,103.27169299999639,103.27169299999639,103.27169299999639,17882.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,138.00470799999687,138.00470799999687,138.00470799999687,138.00470799999687,180.0,0.931313398661173,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,133.57391300000643,133.57391300000643,133.57391300000643,133.57391300000643,761764.0,0.931313398661173,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/viewer/main.bundle.js,1,0,416.44201600000486,416.44201600000486,416.44201600000486,416.44201600000486,1388728.0,0.931313398661173,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/viewer/main.js,1,0,211.56719200000396,211.56719200000396,211.56719200000396,211.56719200000396,725487.0,0.931313398661173,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/plugins/manifests,1,0,100.5093610000074,100.5093610000074,100.5093610000074,100.5093610000074,2.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/runtime.js,1,0,100.37789099999372,100.37789099999372,100.37789099999372,100.37789099999372,1193.0,0.931313398661173,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/styles.css,1,0,118.47767799999076,118.47767799999076,118.47767799999076,118.47767799999076,410961.0,0.931313398661173,0.0,120,120,120,120,120,120,120,120,120,120,120
