Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,4662.531735000001,4662.531735000001,4662.531735000001,4662.531735000001,5771.0,0.14293139286054574,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,4365.53159200001,4365.53159200001,4365.53159200001,4365.53159200001,7768.0,0.14293139286054574,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,4891.61618,4891.61618,4891.61618,4891.61618,59305.0,0.14293139286054574,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/viewer/catchSyntaxError.js,1,0,300.00109299999167,300.00109299999167,300.00109299999167,300.00109299999167,410.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/extra_js.js,1,0,4611.941399999992,4611.941399999992,4611.941399999992,4611.941399999992,47.0,0.14293139286054574,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/viewer/icons/iav-icons.css,1,0,4661.638513,4661.638513,4661.638513,4661.638513,518.0,0.14293139286054574,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,/viewer/includeMatomo.js,1,0,297.6930610000039,297.6930610000039,297.6930610000039,297.6930610000039,843.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,1611.926828999998,1611.926828999998,1611.926828999998,1611.926828999998,129703.0,0.14293139286054574,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,298.3347169999888,298.3347169999888,298.3347169999888,298.3347169999888,20575.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,298.54073299999584,298.54073299999584,298.54073299999584,298.54073299999584,945.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,409.1812260000012,409.1812260000012,409.1812260000012,409.1812260000012,17882.0,0.14293139286054574,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,298.65811199999825,298.65811199999825,298.65811199999825,298.65811199999825,180.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,2059.0056269999905,2059.0056269999905,2059.0056269999905,2059.0056269999905,761764.0,0.14293139286054574,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/viewer/main.js,1,0,1472.9503789999967,1472.9503789999967,1472.9503789999967,1472.9503789999967,725487.0,0.14293139286054574,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/viewer/runtime.js,1,0,297.3656699999907,297.3656699999907,297.3656699999907,297.3656699999907,1193.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/styles.css,1,0,2014.9188320000064,2014.9188320000064,2014.9188320000064,2014.9188320000064,410961.0,0.14293139286054574,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/viewer/vendor.js,1,0,1474.083463999989,1474.083463999989,1474.083463999989,1474.083463999989,1675703.0,0.14293139286054574,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/viewer/version.css,1,0,4330.4953070000065,4330.4953070000065,4330.4953070000065,4330.4953070000065,27.0,0.14293139286054574,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/viewer/worker.js,1,0,298.0895020000105,298.0895020000105,298.0895020000105,298.0895020000105,3520.0,0.14293139286054574,0.0,300,300,300,300,300,300,300,300,300,300,300
,Aggregated,19,0,1500.0,2034.4475774736827,297.3656699999907,4891.61618,201189.57894736843,2.715696464350369,0.0,1500,2100,4400,4600,4700,4900,4900,4900,4900,4900,4900
