Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,857.8357560000072,857.8357560000072,857.8357560000072,857.8357560000072,5771.0,0.543763854018414,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,834.4579319999923,834.4579319999923,834.4579319999923,834.4579319999923,7768.0,0.543763854018414,0.0,830,830,830,830,830,830,830,830,830,830,830
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,974.6602720000012,974.6602720000012,974.6602720000012,974.6602720000012,59305.0,0.543763854018414,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,103.9608960000038,103.9608960000038,103.9608960000038,103.9608960000038,13224.0,0.543763854018414,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,103.06603399999403,103.06603399999403,103.06603399999403,103.06603399999403,78268.0,0.543763854018414,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,99.62364899999443,99.62364899999443,99.62364899999443,99.62364899999443,11876.0,0.543763854018414,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,98.8033779999995,98.8033779999995,98.8033779999995,98.8033779999995,11915.0,0.543763854018414,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/viewer/catchSyntaxError.js,1,0,98.70288799999116,98.70288799999116,98.70288799999116,98.70288799999116,410.0,0.543763854018414,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/viewer/chunk_worker.bundle.js,2,0,101.08383099999685,102.69319399999688,101.08383099999685,104.30255699999691,301361.0,1.087527708036828,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/extra_js.js,1,0,878.786588000004,878.786588000004,878.786588000004,878.786588000004,47.0,0.543763854018414,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/viewer/icons/iav-icons.css,1,0,789.2949940000022,789.2949940000022,789.2949940000022,789.2949940000022,518.0,0.543763854018414,0.0,790,790,790,790,790,790,790,790,790,790,790
GET,/viewer/icons/iav-icons.woff,1,0,103.21685499999944,103.21685499999944,103.21685499999944,103.21685499999944,2428.0,0.543763854018414,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/viewer/includeMatomo.js,1,0,115.07199300000082,115.07199300000082,115.07199300000082,115.07199300000082,843.0,0.543763854018414,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,301.871773000002,301.871773000002,301.871773000002,301.871773000002,129703.0,0.543763854018414,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,99.42285900000059,99.42285900000059,99.42285900000059,99.42285900000059,20575.0,0.543763854018414,0.0,99,99,99,99,99,99,99,99,99,99,99
