Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,1185.3013540000034,1185.3013540000034,1185.3013540000034,1185.3013540000034,5771.0,0.34286290703946914,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,1272.0944710000026,1272.0944710000026,1272.0944710000026,1272.0944710000026,7768.0,0.34286290703946914,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,1471.119361999996,1471.119361999996,1471.119361999996,1471.119361999996,59305.0,0.34286290703946914,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,160.39335600000015,160.39335600000015,160.39335600000015,160.39335600000015,13224.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,165.7329230000073,165.7329230000073,165.7329230000073,165.7329230000073,78268.0,0.34286290703946914,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,157.2998090000084,157.2998090000084,157.2998090000084,157.2998090000084,11876.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,160.63117699999907,160.63117699999907,160.63117699999907,160.63117699999907,11915.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/catchSyntaxError.js,1,0,160.24743699999533,160.24743699999533,160.24743699999533,160.24743699999533,410.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/chunk_worker.bundle.js,1,0,166.63014800001008,166.63014800001008,166.63014800001008,166.63014800001008,301361.0,0.34286290703946914,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/extra_js.js,1,0,1243.1098679999905,1243.1098679999905,1243.1098679999905,1243.1098679999905,47.0,0.34286290703946914,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/icons/iav-icons.css,1,0,1241.713863000001,1241.713863000001,1241.713863000001,1241.713863000001,518.0,0.34286290703946914,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/viewer/icons/iav-icons.woff,1,0,158.62459200000956,158.62459200000956,158.62459200000956,158.62459200000956,2428.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/includeMatomo.js,1,0,180.10819799999922,180.10819799999922,180.10819799999922,180.10819799999922,843.0,0.34286290703946914,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,649.1644140000119,649.1644140000119,649.1644140000119,649.1644140000119,129703.0,0.34286290703946914,0.0,650,650,650,650,650,650,650,650,650,650,650
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,192.58480799999234,192.58480799999234,192.58480799999234,192.58480799999234,20575.0,0.34286290703946914,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,160.4249849999917,160.4249849999917,160.4249849999917,160.4249849999917,2309.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,157.97630500000537,157.97630500000537,157.97630500000537,157.97630500000537,1969.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,161.42285499999787,161.42285499999787,161.42285499999787,161.42285499999787,2280.0,0.34286290703946914,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,173.2105379999922,173.2105379999922,173.2105379999922,173.2105379999922,945.0,0.34286290703946914,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,165.06459200000734,165.06459200000734,165.06459200000734,165.06459200000734,17882.0,0.34286290703946914,0.0,170,170,170,170,170,170,170,170,170,170,170
