Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/0-64_0-42_0-49,1,0,5.569797000021026,5.569797000021026,5.569797000021026,5.569797000021026,11988.0,0.26132290709323136,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/80um/64-81_0-42_0-49,1,0,9.747290999996494,9.747290999996494,9.747290999996494,9.747290999996494,2048.0,0.26132290709323136,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/info,1,0,29.092555000005405,29.092555000005405,29.092555000005405,29.092555000005405,766.0,0.26132290709323136,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/mesh/info,1,0,6.1248369999873375,6.1248369999873375,6.1248369999873375,6.1248369999873375,38.0,0.26132290709323136,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_left/transform.json,3,0,8,8.365532999998019,7.255708999991839,9.511481000004096,110.0,0.7839687212796941,0.0,8,8,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/0-64_0-40_0-60,1,0,35.023468000019875,35.023468000019875,35.023468000019875,35.023468000019875,10388.0,0.26132290709323136,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/80um/64-76_0-40_0-60,1,0,7.9486889999884625,7.9486889999884625,7.9486889999884625,7.9486889999884625,2256.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/info,1,0,16.1844880000217,16.1844880000217,16.1844880000217,16.1844880000217,767.0,0.26132290709323136,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/mesh/info,1,0,7.691437999994832,7.691437999994832,7.691437999994832,7.691437999994832,38.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_dn_right/transform.json,3,0,6.153328000010561,6.887585000005932,6.153328000010561,8.157690000018647,109.0,0.7839687212796941,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/info,1,0,14.839488000006895,14.839488000006895,14.839488000006895,14.839488000006895,543.0,0.26132290709323136,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/mesh/info,1,0,8.327390000005153,8.327390000005153,8.327390000005153,8.327390000005153,38.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_left/transform.json,3,0,9,8.91030099998602,8.218960999982983,9.79095099998517,111.0,0.7839687212796941,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/80um/0-64_0-36_0-56,1,0,8.359269999999697,8.359269999999697,8.359269999999697,8.359269999999697,10004.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/info,1,0,13.426546000005146,13.426546000005146,13.426546000005146,13.426546000005146,767.0,0.26132290709323136,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/mesh/info,1,0,7.1815780000008544,7.1815780000008544,7.1815780000008544,7.1815780000008544,38.0,0.26132290709323136,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_mn_right/transform.json,3,0,6,6.361090999992787,5.458666000009771,7.579788999976245,109.0,0.7839687212796941,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/info,1,0,8.817729999975654,8.817729999975654,8.817729999975654,8.817729999975654,542.0,0.26132290709323136,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/mesh/info,1,0,16.04711900000666,16.04711900000666,16.04711900000666,16.04711900000666,38.0,0.26132290709323136,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_left/transform.json,3,0,8,8.389699666660514,7.575677999994923,9.319659999988517,110.0,0.7839687212796941,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/info,1,0,7.690918999998075,7.690918999998075,7.690918999998075,7.690918999998075,541.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/mesh/info,1,0,12.658934999990379,12.658934999990379,12.658934999990379,12.658934999990379,38.0,0.26132290709323136,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/precomputed/BigBrainRelease.2015/2022_map_release/CGM_vn_right/transform.json,3,0,6,6.446037999988145,5.949867999987646,7.219407999997429,109.0,0.7839687212796941,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/info,1,0,6.460266000004822,6.460266000004822,6.460266000004822,6.460266000004822,768.0,0.26132290709323136,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/mesh/info,1,0,8.992970000008427,8.992970000008427,8.992970000008427,8.992970000008427,38.0,0.26132290709323136,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_left/transform.json,3,0,8,8.3844006666709,7.784409999999298,9.539541999998846,111.0,0.7839687212796941,0.0,8,8,10,10,10,10,10,10,10,10,10
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/0-64_0-61_64-66,1,0,7.2998189999964325,7.2998189999964325,7.2998189999964325,7.2998189999964325,592.0,0.26132290709323136,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/80um/64-89_0-61_64-66,1,0,6.459387999996125,6.459387999996125,6.459387999996125,6.459387999996125,264.0,0.26132290709323136,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/info,1,0,8.289950999994744,8.289950999994744,8.289950999994744,8.289950999994744,768.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/mesh/info,1,0,8.374080000010053,8.374080000010053,8.374080000010053,8.374080000010053,38.0,0.26132290709323136,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb1_right/transform.json,3,0,6,6.391080999994377,5.303385999980037,7.828858999999966,109.0,0.7839687212796941,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/precomputed/BigBrainRelease.2015/2022_map_release/Lgb2_left/info,1,0,10.511492999995653,10.511492999995653,10.511492999995653,10.511492999995653,768.0,0.26132290709323136,0.0,11,11,11,11,11,11,11,11,11,11,11
