Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v3_0/atlases,2,0,350.0,369.3764380000033,346.3733419999926,392.379534000014,3488.0,1.9521978902989918,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/v3_0/feature/_types,1,0,173.44023799998354,173.44023799998354,173.44023799998354,173.44023799998354,8002.0,0.9760989451494959,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,27.838618999993514,27.838618999993514,27.838618999993514,27.838618999993514,67.0,0.9760989451494959,0.9760989451494959,28,28,28,28,28,28,28,28,28,28,28
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,1,1,25.660549999997784,25.660549999997784,25.660549999997784,25.660549999997784,67.0,0.9760989451494959,0.9760989451494959,26,26,26,26,26,26,26,26,26,26,26
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2,1,0,85.22122399998011,85.22122399998011,85.22122399998011,85.22122399998011,50044.0,0.9760989451494959,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/v3_0/maps?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&page=1,1,0,172.13751299999558,172.13751299999558,172.13751299999558,172.13751299999558,1349.0,0.9760989451494959,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588&page=1,1,0,23.483104000007415,23.483104000007415,23.483104000007415,23.483104000007415,1289.0,0.9760989451494959,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/v3_0/maps?map_type=LABELLED&space_id=minds/core/referencespace/v1.0.0/dafcffc5-4826-4bf1-8ff6-46b8a31ff8e2&page=1,1,0,144.04694300000642,144.04694300000642,144.04694300000642,144.04694300000642,7333.0,0.9760989451494959,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/3,1,0,8.059862000010298,8.059862000010298,8.059862000010298,8.059862000010298,5417.0,0.9760989451494959,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/4,1,0,177.86049100001833,177.86049100001833,177.86049100001833,177.86049100001833,3808.0,0.9760989451494959,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/5,1,0,175.06635899999878,175.06635899999878,175.06635899999878,175.06635899999878,6084.0,0.9760989451494959,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/6,1,0,273.6562789999937,273.6562789999937,273.6562789999937,273.6562789999937,7673.0,0.9760989451494959,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/v3_0/parcellations/juelich/iav/atlas/v1.0.0/79cbeaa4ee96d5d3dfe2876e9f74b3dc3d3ffb84304fb9b965b1776563a1069c,1,0,160.99595399998634,160.99595399998634,160.99595399998634,160.99595399998634,80016.0,0.9760989451494959,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/12fca5c5-b02c-46ce-ab9f-f12babf4c7e1,1,0,40.186164000004965,40.186164000004965,40.186164000004965,40.186164000004965,137262.0,0.9760989451494959,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/141d510f-0342-4f94-ace7-c97d5f160235,1,0,25.850428999973474,25.850428999973474,25.850428999973474,25.850428999973474,35323.0,0.9760989451494959,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/63b5794f-79a4-4464-8dc1-b32e170f3d16,1,0,150.3104070000063,150.3104070000063,150.3104070000063,150.3104070000063,69432.0,0.9760989451494959,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/73f41e04-b7ee-4301-a828-4b298ad05ab8,1,0,7.944426999983989,7.944426999983989,7.944426999983989,7.944426999983989,19068.0,0.9760989451494959,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579,1,0,19.126190999998016,19.126190999998016,19.126190999998016,19.126190999998016,88830.0,0.9760989451494959,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,162.947446000004,162.947446000004,162.947446000004,162.947446000004,290748.0,0.9760989451494959,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-300,1,0,161.30238299999178,161.30238299999178,161.30238299999178,161.30238299999178,142801.0,0.9760989451494959,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310,1,0,71.1497480000105,71.1497480000105,71.1497480000105,71.1497480000105,184750.0,0.9760989451494959,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/v3_0/parcellations/minds/core/parcellationatlas/v1.0.0/d80fbab2-ce7f-4901-a3a2-3c8ef8a3b721,1,0,24.82841500000177,24.82841500000177,24.82841500000177,24.82841500000177,10610.0,0.9760989451494959,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290,1,0,9.971183999994082,9.971183999994082,9.971183999994082,9.971183999994082,42337.0,0.9760989451494959,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=10,1,0,94.27213200001461,94.27213200001461,94.27213200001461,94.27213200001461,43222.0,0.9760989451494959,0.0,94,94,94,94,94,94,94,94,94,94,94
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=11,1,0,7.991060999984256,7.991060999984256,7.991060999984256,7.991060999984256,9235.0,0.9760989451494959,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=12,1,0,8.183096999999862,8.183096999999862,8.183096999999862,8.183096999999862,55.0,0.9760989451494959,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=2,1,0,12.500413999987359,12.500413999987359,12.500413999987359,12.500413999987359,42452.0,0.9760989451494959,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=3,1,0,10.72046800001658,10.72046800001658,10.72046800001658,10.72046800001658,42663.0,0.9760989451494959,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=4,1,0,14.032282999977497,14.032282999977497,14.032282999977497,14.032282999977497,43023.0,0.9760989451494959,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=5,1,0,45.364369999987275,45.364369999987275,45.364369999987275,45.364369999987275,42794.0,0.9760989451494959,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/v3_0/regions?parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-290&page=6,1,0,29.792806000017436,29.792806000017436,29.792806000017436,29.792806000017436,42806.0,0.9760989451494959,0.0,30,30,30,30,30,30,30,30,30,30,30
