Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,211.21475099999998,211.21475099999998,211.21475099999998,211.21475099999998,5771.0,0.5132268703371353,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,426.85240299999805,426.85240299999805,426.85240299999805,426.85240299999805,7768.0,0.5132268703371353,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,223.00631499999213,223.00631499999213,223.00631499999213,223.00631499999213,59305.0,0.5132268703371353,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,15.817990999991594,15.817990999991594,15.817990999991594,15.817990999991594,78268.0,0.5132268703371353,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,7.8528640000001815,7.8528640000001815,7.8528640000001815,7.8528640000001815,11915.0,0.5132268703371353,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/viewer/catchSyntaxError.js,1,0,267.5927009999981,267.5927009999981,267.5927009999981,267.5927009999981,410.0,0.5132268703371353,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/viewer/extra_js.js,1,0,332.2768099999962,332.2768099999962,332.2768099999962,332.2768099999962,47.0,0.5132268703371353,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/viewer/icons/iav-icons.css,1,0,333.91294499999447,333.91294499999447,333.91294499999447,333.91294499999447,518.0,0.5132268703371353,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/viewer/includeMatomo.js,1,0,182.8783489999921,182.8783489999921,182.8783489999921,182.8783489999921,843.0,0.5132268703371353,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,314.23900400000093,314.23900400000093,314.23900400000093,314.23900400000093,129703.0,0.5132268703371353,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,523.898250000002,523.898250000002,523.898250000002,523.898250000002,20575.0,0.5132268703371353,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,431.7065829999933,431.7065829999933,431.7065829999933,431.7065829999933,2309.0,0.5132268703371353,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,7.887678999992431,7.887678999992431,7.887678999992431,7.887678999992431,1969.0,0.5132268703371353,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,519.3095960000136,519.3095960000136,519.3095960000136,519.3095960000136,2280.0,0.5132268703371353,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,215.88074699999993,215.88074699999993,215.88074699999993,215.88074699999993,945.0,0.5132268703371353,0.0,220,220,220,220,220,220,220,220,220,220,220
